odour stim,19/03/2021 Female 7,22/03/2021 Male 1,22/03/2021 Male 2,22/03/2021 Male 7,22/03/2021 Female 11,29/03/2021 Female 3,29/03/2021 Female 5,31/03/2021 Female 1,31/03/2021 Female 4,31/03/2021 Female 9,31/03/2021 Female 10,31/03/2021 Female 13,08/04/2021 Female 1,08/04/2021 Female 5,08/04/2021 Female 7,08/04/2021 Female 8,08/04/2021 Female 9,08/04/2021 Female 13,08/04/2021 Female 14,08/04/2021 Female 15,28/06/2021 Male 14,28/06/2021 Male 15,28/06/2021 Male 16,28/06/2021 Male 18,02/07/2021 Male 1,05/07/2021 Male 1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,8.0214,4.3573,9.0304,7.5994,8.8846,4.9223,10.9422,3.9211,14.174,5.806,6.614,2.2195,4.6636,13.3807,5.9709,5.5502,12.5975,6.727,7.8051,4.998,4.775,5.5193,12.2982,4.0944,3.0167,7.4031
0,7.8052,4.5369,9.033,7.7327,8.7938,4.5775,10.1963,3.7002,14.3039,5.412,6.7512,2.1277,5.0673,13.3504,7.575,5.4368,11.1805,7.6262,7.5639,4.8022,5.1645,5.4137,11.4513,3.7005,3.2433,7.7378
0,7.6604,4.7562,8.7309,7.8507,8.8229,4.8417,9.7314,3.6065,14.2455,5.4706,6.9356,2.0385,4.3872,13.1805,7.3133,5.5093,11.4357,7.6224,7.2842,5.3814,4.8452,5.3403,11.6251,3.4444,3.1485,7.8339
0,7.4088,4.8672,9.1286,8,9.2888,4.7143,10.2826,3.3343,13.956,5.8573,6.6842,2.3279,4.2151,13.6028,6.8964,5.2649,9.9992,8.0997,7.7553,5.0639,4.9844,4.9503,11.9098,3.5235,2.9014,7.4145
0,7.108,4.9757,8.82,8.5647,8.3454,4.9821,10.6991,3.2285,13.3753,5.5156,6.6867,2.247,4.6993,12.8556,7.323,5.015,10.2499,7.4555,7.1246,4.7155,5.1136,5.2897,12.7746,3.2766,3.2238,7.705
0,7.2821,5.2462,8.8348,8.4878,8.0597,4.5663,11.5531,3.2063,12.7476,5.4805,6.8406,2.2537,4.6294,12.5638,8.1539,5.1314,10.0885,7.7345,7.3004,4.7614,4.9465,5.4312,12.6633,3.2234,2.999,7.5794
0,6.9482,4.7603,8.1495,8.4189,8.5391,4.7344,11.1572,3.0559,12.3841,5.5664,6.6866,2.4801,4.3929,13.2572,8.1366,4.6211,10.1115,8.2927,7.1702,3.7899,5.1139,5.277,12.1959,3.3293,2.5909,7.5842
0,6.9414,4.861,9.3063,8.4068,8.1769,4.6642,11.3369,3.0285,12.203,5.8411,6.1497,2.225,4.5854,13.8078,8.7278,4.1337,10.4669,7.6602,7.0393,4.8047,5.1923,4.9988,12.3617,3.4413,2.5519,7.8817
0,6.8342,4.7003,8.6344,7.4322,8.348,5.1822,11.2054,2.8526,12.2371,5.7425,6.4142,2.5266,4.4329,12.9365,8.4455,4.8851,9.6399,7.3012,6.8681,4.4326,5.185,5.0685,12.8621,3.213,2.8296,7.99
0,6.756,5.03,8.3822,6.9554,7.9995,5.1185,11.0545,2.9248,12.251,6.0813,6.1388,2.3752,4.1735,13.8785,8.9969,5.1476,10.8345,7.867,6.7247,4.9828,5.061,5.5739,12.791,3.2995,2.8065,8.3185
0,6.6596,5.3492,8.3156,8.2568,7.7146,4.7625,10.2251,2.8425,12.0843,6.3273,6.5367,2.3037,4.1511,12.708,8.4741,4.8419,10.0071,7.7124,7.3923,4.1868,5.3042,5.8608,13.842,3.2094,2.7804,8.0584
0,6.2724,4.9273,8.7283,8.7604,7.9705,4.7739,10.7333,3.265,12.0308,6.5174,6.6583,2.4792,4.5285,14.2383,8.5381,5.0057,10.8792,7.7204,6.7063,5.0307,5.5144,6.2314,14.7291,3.3963,2.5763,7.9145
0,6.3422,5.1256,8.947,8.7997,7.8185,4.6555,10.8082,3.0747,12.6606,6.6085,6.5406,2.5414,4.5777,13.6493,7.9984,4.7066,11.518,7.5301,5.9155,4.9044,5.4207,5.7072,16.3844,3.3566,2.8274,7.7654
0,5.9915,4.9687,9.3405,7.9694,8.0926,4.3266,11.1431,3.1769,12.4329,6.8828,6.7117,2.1716,4.5149,13.7338,8.5133,4.8189,10.6867,8.1196,7.0756,4.5814,5.693,5.4985,17.734,3.2161,2.8957,7.967
0,6.0195,4.87,8.8716,8.2177,7.376,4.6497,11.2716,3.1055,12.1211,6.2954,6.9686,2.3121,4.7376,13.6342,9.6186,4.8536,10.5633,7.7174,6.9553,4.9313,5.7179,5.2412,17.4012,3.3776,2.4674,8.3434
0,5.8566,4.8026,8.6263,8.2889,7.1254,4.5608,11.7905,3.2759,12.3783,6.5142,6.6188,2.8726,4.0534,13.544,9.9219,5.1332,10.0825,8.1874,6.7083,4.9653,5.7506,4.8842,16.9777,3.5592,2.749,8.2397
