odour stim;12/11/2020 Male5;09/12/2020 Male8;11/12/2020 Female4;11/12/2020 Male7;14/12/2020 Female2;14/12/2020 Female9;08/02/2021 Female4;08/02/2021 Male7;08/02/2021 Female8;09/02/2021 Male2;09/02/2021 Female7;09/02/2021 Male8;09/02/2021 Female9;10/02/2021 Male1
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0.5;6.395;10.7274;12.6617;21.2448;22.426;36.1228;8.9449;24.8798;9.1527;17.8338;10.5591;4.6648;10.4271;24.5446
0.5;7.3897;11.4099;11.1469;23.4012;21.3687;34.6869;8.0667;28.9006;10.1671;17.6331;11.0705;4.5078;10.8825;23.6258
0.5;7.0842;10.6239;10.4184;21.5558;19.9314;37.0761;7.6874;30.5867;10.9857;18.9228;11.7459;4.449;10.4037;27.4561
0.5;7.0341;11.7059;10.7094;18.6114;21.7835;34.6956;8.7136;28.0159;10.9191;18.0663;10.9329;4.7846;10.7043;32.4112
0.5;7.7169;13.3065;10.2081;21.8544;22.0385;40.3653;9.2968;28.323;10.7226;16.6381;12.3464;4.4473;12.4402;28.9066
0.5;8.8459;12.049;9.7483;18.7475;20.499;40.6448;8.9158;29.0615;10.5354;18.7287;10.9654;4.3595;10.8236;27.6237
0.5;9.6425;13.3215;8.8164;16.9783;19.2527;42.1319;9.157;28.8442;10.1102;16.4884;12.4061;4.6112;11.0798;27.8934
0.5;8.8247;12.8199;9.9091;16.9018;18.6427;41.4701;9.0708;27.6472;9.6814;17.6117;11.1244;4.6484;10.9598;25.8113
0.5;9.2138;11.6225;9.3398;18.317;17.4307;41.1035;8.7132;28.6783;8.9031;19.7142;12.5836;4.3072;10.9126;22.9039
0.5;9.8098;11.016;10.4677;15.0315;20.4674;38.7178;8.1661;25.1718;8.8086;16.6728;13.3168;4.2384;9.6994;23.9652
0.5;8.8984;11.9446;9.5892;15.4219;22.1239;35.0685;9.6474;24.6875;10.0306;18.3632;12.5952;4.2502;10.3414;21.5961
0.5;7.9702;10.9099;8.6706;14.6638;21.3678;39.5545;8.9608;28.7384;9.5445;18.8099;14.6002;4.8411;9.5899;26.8415
0.5;8.905;11.8398;8.3989;17.8349;19.8486;38.5588;8.6992;25.3487;11.3588;19.1765;14.563;5.2048;8.1664;20.4405
0.5;9.5751;12.4578;9.4547;16.566;19.0739;36.1885;8.1185;26.8812;11.5587;20.6139;13.8372;5.7902;7.8114;24.6417
0.5;9.6281;12.519;8.8582;15.321;18.4594;37.6407;7.8095;27.2326;10.8831;17.7048;11.9174;5.635;7.0006;25.0226
0.5;9.7854;13.6214;9.6195;14.325;23.1522;34.6969;6.9842;24.7434;10.0967;19.5265;12.7198;5.2268;6.3743;25.7772
0.5;9.3411;13.5241;9.1841;16.3841;21.9785;39.01;6.6623;24.0502;10.96;17.8705;11.7545;4.9742;6.1277;26.922
0.5;9.4618;12.7827;9.9355;15.9332;21.7876;36.6274;7.169;24.5175;11.204;17.4729;12.8343;4.4401;5.9167;23.0259
0.5;9.1371;12.1757;10.5962;14.1724;22.5089;36.0031;8.0989;25.3263;10.5503;16.3457;11.9432;4.2706;5.8731;25.3063
0.5;10.4614;11.6563;9.7599;13.3781;23.5327;36.6367;8.463;26.0244;10.0828;15.1753;13.1329;4.0884;6.6687;25.8968
0.5;10.265;13.4956;9.6329;11.6615;22.1481;41.5022;9.4556;24.681;12.7151;17.6731;13.6043;4.3963;6.1542;25.4367
0.5;11.0347;13.6512;9.7507;11.9069;20.3564;39.8302;9.5978;22.8947;13.9127;18.3617;13.933;4.6272;5.5536;24.4931
0.5;9.8068;12.7925;10.413;12.9515;21.1863;42.6637;9.1493;20.955;13.2237;17.2926;13.164;4.5105;5.5286;20.3781
0.5;9.4559;11.7017;9.806;12.5168;21.39;40.538;8.3427;21.7197;12.5243;17.092;15.3019;4.3896;5.2033;24.1547
0.5;9.8119;14.9167;8.723;14.2105;23.4077;38.0402;7.8234;21.5099;10.969;15.2966;15.5027;4.7273;5.0452;21.6087
0.5;10.6997;12.9992;8.4666;14.2053;24.4738;38.8829;7.4297;24.4736;12.6716;15.0159;15.3533;4.432;4.8474;23.1763
0.5;9.7389;11.9842;9.2269;13.08;25.4417;39.8308;6.9652;26.9378;11.9116;16.8753;17.4518;4.4531;4.9759;21.1846
0.5;10.3343;11.2072;10.4428;13.4881;23.8538;37.8105;6.4501;24.2663;12.3889;14.2754;15.7482;4.2161;4.5362;21.7365
0.5;9.4273;10.5563;10.3047;12.4814;22.2851;42.1408;6.27;27.3464;12.5659;15.4473;16.5049;4.198;4.5664;22.7102
0.5;9.7622;9.9555;10.7041;11.2457;20.4758;36.8164;6.2447;28.3113;11.5474;16.5889;14.415;4.4643;4.3438;24.6604
0.5;10.2444;9.4382;12.6598;12.4093;18.5667;41.3827;5.8631;27.6409;10.8052;15.5987;13.4766;4.6929;4.2524;20.8322
0.5;10.2333;8.8665;11.9878;15.1101;21.2354;38.2806;5.5783;26.3691;11.8208;15.6862;12.666;4.7018;5.0011;23.3669
0.5;11.0093;8.5942;10.4929;14.4008;19.408;39.2386;5.5932;26.7857;11.0549;15.8406;13.1117;4.9453;5.5825;22.9156
0.5;11.3583;8.4989;9.5332;13.4543;21.5034;44.7723;5.2508;24.8242;12.6886;16.8416;13.9548;5.8118;5.1337;22.1276
0.5;11.9455;8.1132;8.725;13.3208;20.421;42.7873;6.028;22.9115;12.8576;17.5946;14.8157;5.565;5.0076;27.5417
0.5;12.2015;8.1899;9.5082;13.4893;20.9896;38.8025;6.0463;25.2686;12.0203;19.0491;13.4174;5.4093;5.4631;21.9743
0.5;11.982;7.9626;9.5146;13.0277;20.9505;40.0139;6.2247;30.5778;13.3551;15.9709;15.5154;5.6043;5.063;17.5358
0.5;14.4736;8.3273;9.6702;11.3619;23.2288;40.8041;6.5174;27.8601;14.3481;20.6789;13.542;5.7635;5.7022;21.1287
0.5;14.5657;7.7127;8.9982;10.9688;24.1932;37.073;6.2673;31.2751;14.2549;18.9543;15.3372;5.592;5.1507;23.9168
0.5;12.9588;7.9457;9.7541;10.7673;25.4656;39.0516;6.1256;26.3242;13.379;21.7438;14.7069;5.6305;4.7766;23.5114
0.5;14.5388;7.7936;10.9779;13.5976;24.5488;42.7351;6.0211;29.064;11.9779;19.8712;16.255;6.2505;4.6478;22.3384
0.5;13.7109;8.0744;10.1236;13.8113;22.0538;40.2941;5.6094;26.7414;14.6589;17.64;14.1783;6.0813;4.4306;23.2355
0.5;14.7684;7.7111;9.5046;15.9027;23.4495;39.8986;5.3768;24.1788;13.8783;19.2563;14.506;6.072;5.1707;21.764
