odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0.5,1.0857,5.9524,2.321,1.1451,2.707,2.9921,8.9645,2.2695,4.4067,1.4652,1.7807,3.0436
0.5,1.2305,6.029,2.5089,1.1324,2.5447,2.668,8.5441,2.8679,4.4201,1.3003,1.7692,2.9429
0.5,1.2314,5.8799,2.5561,1.1331,2.4511,2.983,8.7229,2.8505,4.3554,1.4182,1.5401,2.8267
0.5,1.2646,5.5042,2.5414,1.2452,2.5396,3.0207,7.9171,2.8142,4.1907,1.4935,1.9431,2.4876
0.5,1.1617,5.6453,2.5339,1.1511,2.5421,3.0288,7.8653,3.0482,4.0966,1.3125,2.0629,2.8993
0.5,1.2447,5.3836,2.7334,0.9824,2.8631,3.6717,7.5419,2.9208,4.0288,1.3912,2.0441,2.8068
0.5,1.1316,5.7202,2.468,1.0292,2.4925,4.2593,8.6129,3.0604,3.888,1.4773,1.9635,2.8088
0.5,1.0751,5.8874,2.5449,1.0212,2.5591,3.3689,7.6287,2.636,4.2653,1.3948,1.8919,3.0017
0.5,1.1349,5.628,2.3558,1.163,2.8669,3.9276,8.8275,2.9268,4.2487,1.4246,2.0934,3.0144
0.5,1.1177,5.391,2.3683,1.1318,2.7211,4.2347,8.8881,2.9998,4.0826,1.2761,1.6278,2.8546
0.5,1.1549,5.6463,2.3326,1.0742,3.0919,4.7432,7.423,2.706,4.3275,1.3497,1.9968,3.1086
0.5,1.1762,5.5528,2.5888,1.2406,2.9547,4.9572,7.4059,2.429,4.2294,1.4423,1.8728,2.7972
0.5,1.167,5.5347,2.7572,1.2325,2.6112,5.6587,8.3564,2.0757,4.2673,1.4726,1.876,2.9249
0.5,1.2025,5.2582,2.5341,1.0335,2.8868,5.3065,7.5554,2.6195,4.3983,1.4686,1.8453,3.1079
0.5,1.2723,5.98,2.4489,1.1842,3.0852,5.898,7.5631,2.7645,4.2442,1.4137,1.7974,3.2089
0.5,1.1669,5.7625,2.4734,0.9469,3.1843,6.7497,6.6978,2.9674,4.2456,1.5342,1.8847,3.2323
0.5,1.2549,5.6955,2.6404,1.0963,2.8735,7.5504,7.6319,2.5064,4.4614,1.5302,1.8304,3.1202
0.5,1.2115,6.0376,2.2866,1.0033,2.7414,7.4473,7.5512,2.9489,4.0633,1.5689,1.8551,3.1697
0.5,1.3169,6.1914,2.3013,0.9767,2.9934,6.5092,7.1965,2.7528,4.1603,1.6809,1.9475,3.1836
0.5,1.0807,5.7769,2.5582,1.0683,2.5732,6.9068,6.1729,2.7886,3.7587,1.8088,1.7429,2.725
0.5,1.1107,5.6477,2.4711,0.9449,2.8549,5.995,7.3394,3.5478,4.167,2.0045,1.8919,3.2021
0.5,1.2692,5.5047,2.629,0.9907,2.6764,5.8886,6.7247,3.2595,4.9444,1.8944,1.9279,3.4088
0.5,1.2244,5.1552,2.4567,1.0805,2.4169,5.9327,7.3911,3.2177,5.3961,2.1007,1.642,3.2616
0.5,1.2114,5.2275,2.6059,1.2091,2.5447,5.2803,6.7204,2.8896,5.5418,2.1379,1.6215,3.3361
0.5,1.192,5.8118,2.4537,0.9481,2.2436,5.8413,7.0997,2.886,5.8333,2.2585,1.8474,3.0035
0.5,1.377,6.3444,2.6684,0.8925,2.4423,5.303,7.3907,2.4357,5.9126,2.1313,1.8992,3.3269
