odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
5,4.0611,11.5884,6.1289,1.4447,10.9122,23.2402,8.8814,3.4393,8.6572,6.7831,5.3683,3.1094
5,3.7665,11.6036,8.4,1.2972,11.7578,25.4743,8.2957,4.1433,9.7528,7.5172,5.7092,3.1779
5,3.3027,10.8685,10.8194,1.2871,11.9826,25.7402,9.4156,3.9552,10.4723,7.7595,5.1923,3.2636
5,3.0333,11.025,12.8254,1.112,12.1524,24.8783,9.753,2.9241,9.9477,7.4374,5.5129,3.0167
5,3.7135,11.6098,13.4376,1.2072,12.1583,23.3101,8.9775,2.5196,9.787,7.5576,4.998,3.209
5,5.3299,12.4067,14.1406,1.2201,11.7588,19.3013,8.7464,6.3611,9.007,7.5234,5.7245,3.073
5,6.4574,11.7992,13.9524,1.1607,11.0326,16.9131,9.4429,7.4711,9.0845,7.5584,6.016,3.0428
5,6.9125,11.275,13.7,1.1195,10.5694,15.3703,9.4589,7.8705,8.494,7.9479,5.1594,3.2717
5,7.1251,9.428,13.2319,1.2713,9.4964,13.8736,9.1166,5.3519,8.7481,7.8912,5.5351,3.01
5,7.2783,8.728,12.5899,1.1762,9.1238,12.8876,8.7878,4.825,8.9396,7.9058,5.1454,2.8093
5,6.9905,8.8216,12.7423,1.2576,8.6749,11.2556,8.755,5.1891,8.5742,7.5629,4.9299,3.0177
5,6.5214,9.1339,13.1147,1.1084,8.4088,11.0638,8.7396,4.6121,8.0797,7.3435,4.4111,3.0065
5,6.7148,8.3059,13.1897,1.2111,8.3999,9.8987,9.6333,4.2108,8.6407,7.08,3.5974,2.9262
5,6.2756,9.0358,13.3046,1.2155,8.2369,9.7475,9.1118,5.5009,8.9705,6.8547,3.3173,2.9082
5,6.1868,9.051,13.4338,1.2627,7.5746,9.3082,9.0565,4.822,8.9946,6.4104,3.175,2.635
5,5.9939,8.7062,13.1497,1.0082,6.8504,8.4961,8.1848,7.7448,8.5212,6.4187,3.4079,2.8755
5,5.8741,8.6205,11.6497,1.1112,6.8495,8.5509,7.7557,8.9078,8.6529,5.9891,2.796,2.9325
5,5.8436,8.2639,11.4357,1.3144,6.9805,8.0684,7.526,10.5913,8.599,6.2549,2.768,2.8026
5,5.9809,8.7358,10.2436,1.201,6.626,5.8347,9.4031,10.5162,8.7048,5.958,2.4132,2.8377
5,5.7994,7.5242,9.9951,1.1541,6.5574,5.8838,10.1938,11.1939,8.6723,5.6436,2.1622,2.9726
5,5.7036,7.2584,8.7763,1.1501,6.3076,6.8095,10.2338,10.7272,8.3796,5.3192,2.2977,2.8246
5,5.9748,8.0337,7.4397,1.2506,6.5188,6.318,10.241,11.3295,8.6628,5.0287,2.3118,2.8924
5,5.8524,7.4486,7.0112,1.2273,6.4725,6.3364,10.3901,11.4303,8.0879,5.1507,2.313,2.5566
1,6.0789,6.7838,6.2777,1.1331,6.158,5.7198,10.6787,14.1936,8.4919,4.881,2.1238,2.9409
1,6.0967,7.5569,5.916,1.1939,5.9238,6.5023,10.5369,14.2645,7.9068,4.9412,2.1987,2.6783
1,6.5004,8.0851,6.0426,1.1773,6.635,5.807,10.5551,11.8494,8.1196,4.9268,2.0865,2.8705
1,7.1314,9.5862,8.7176,1.3331,5.9768,5.884,10.4573,8.6723,7.8497,4.982,2.0928,3.0773
1,6.8087,11.3153,12.673,1.2578,6.1168,5.8809,10.6067,7.9886,7.2705,4.765,2.0755,3.1555
1,6.5748,11.3623,15.7109,1.5399,7.2543,5.9728,10.5324,7.4292,7.0077,5.5447,1.878,3.6975
1,6.4826,10.5116,16.5202,1.8693,8.2581,5.1433,9.0621,5.9995,7.0097,6.8431,2.167,5.1514
1,6.2506,11.3263,17.9511,2.2279,7.8859,5.2339,8.2183,6.0364,6.9071,6.9672,2.1674,6.478
1,6.5887,11.1499,18.1428,3.2873,8.3408,4.9873,9.5456,5.2975,7.1664,7.0954,2.8616,6.6091
1,6.4315,11.4764,17.4466,4.2775,9.2371,5.0921,9.659,5.8455,7.2174,6.7164,3.0977,7.1864
1,5.587,10.9759,16.4238,5.2945,10.4313,4.9825,9.1215,5.337,6.8814,6.5591,3.6953,6.9492
1,5.5174,12.1946,15.0447,5.7098,11.074,4.587,8.8314,4.4151,7.1081,6.374,3.9884,7.2607
1,6.0308,12.0514,14.9865,5.9267,10.2332,5.0608,10.059,5.7212,7.3891,6.123,3.8865,6.6673
1,5.8151,10.9728,14.217,6.4421,9.9307,4.8994,9.6954,5.6508,7.3731,5.5487,3.6605,6.3017
1,5.7116,9.545,14.3135,6.5894,9.9795,4.6105,9.3687,5.9848,7.1375,5.3894,3.3269,5.8177
1,5.7164,8.887,14.313,6.2352,9.6499,4.8572,9.5151,5.1396,7.1739,5.2955,3.4076,6.0447
1,5.5699,7.6903,13.8904,6.1397,9.0429,5.0858,9.3971,5.4893,7.1524,5.3269,3.1818,6.179
1,5.9213,7.8916,13.0068,6.034,8.5787,4.4464,9.4013,6.4607,7.7454,5.2457,3.6091,5.4198
1,5.8514,7.001,12.6501,5.8932,8.3772,4.4244,9.893,6.1873,7.9312,5.2268,3.256,5.5123
1,5.4318,8.1099,12.0684,5.6593,8.1804,4.86,9.4618,5.6917,8.1116,4.7918,3.0361,5.177
1,5.2449,6.8509,11.252,5.1619,8.3734,5.0787,10.1894,5.0579,7.9672,4.5096,2.6835,4.8044
1,5.1523,6.7997,10.8097,4.6777,7.7673,4.9576,10.0076,5.1488,8.1444,4.6329,2.7817,4.2285
1,4.8674,6.5653,9.4714,4.4068,8.0692,6.2553,8.5284,4.8307,8.1304,4.7902,2.682,4.2442
1,4.0299,6.8468,9.1432,4.6609,7.9451,5.6231,8.9086,4.6964,7.5092,4.5045,2.6779,3.6927
1,3.5972,7.8653,8.0425,4.5229,7.8329,6.2874,8.554,3.3769,7.0867,4.2957,2.4808,4.0846
1,3.1172,6.2132,6.9221,4.4631,8.1267,6.5154,7.8746,2.9019,6.8188,3.8239,2.3473,3.7421
1,3.1601,5.9929,6.5737,4.2715,7.4685,6.794,7.715,3.332,6.837,3.921,2.3178,3.8427
1,2.7768,6.6058,5.8507,4.2545,7.3193,6.5217,7.2037,4.2201,6.1043,3.3208,2.2868,3.7398
1,2.624,6.6826,5.5798,3.8633,7.4622,6.6413,7.4567,5.0976,5.7963,3.1505,2.1379,3.5548
1,2.6867,6.5332,5.2661,3.6321,8.0532,7.6586,7.1625,4.1478,5.5592,2.996,2.0837,3.5869
1,2.3831,6.1524,5.197,3.9577,7.526,8.3129,7.6383,3.855,5.4038,2.7897,1.6812,3.9106
1,2.19,7.5647,5.3137,4.1827,7.2546,8.2161,7.6924,3.4447,5.2185,2.6979,2.0309,3.8393
1,2.0913,7.7762,5.8656,4.8311,6.5985,7.934,8.1582,3.6717,5.2089,2.6326,2.0184,3.8002
1,2.0054,7.9753,5.9103,5.2272,7.0569,7.7119,7.9087,3.5457,4.8722,2.3924,1.9484,3.5349
1,1.8416,7.9732,5.1879,5.7184,7.4985,7.7445,8.8861,3.8614,4.5162,2.3876,1.852,3.5367
1,1.8912,8.7581,5.5071,5.9802,9.2153,8.4835,8.0936,4.0661,4.7796,2.4118,2.0115,3.7689
1,1.8303,10.4255,4.4037,5.9448,10.15,8.8039,7.3165,5.2512,4.882,2.282,1.8062,3.543
1,1.857,10.5862,4.6114,5.6795,11.0993,9.268,7.3687,6.2021,4.557,2.7533,1.8758,3.9264
1,1.7931,9.3385,4.3872,5.8143,11.6479,9.65,7.7678,5.9589,4.8802,3.0094,2.0416,3.4737
1,1.8439,8.8557,4.5229,5.5538,12.6025,14.1851,7.9021,6.1108,4.6422,3.0398,2.1018,3.9152
1,1.9319,8.3828,4.5148,5.1326,12.5917,19.7817,6.9298,5.1887,4.658,3.053,2.1394,3.9714
1,1.6626,7.6073,4.1242,4.7625,13.3255,19.4499,7.6474,5.7483,4.8794,2.9713,1.9773,3.7336
1,1.7079,7.2291,3.6233,4.3592,12.7082,18.0215,8.161,5.1658,4.6282,3.159,1.9009,3.9121
1,1.6599,6.9506,3.9729,4.1925,12.6151,19.0047,7.0961,6.0294,4.5957,3.4357,1.7972,4.4713
1,1.5735,6.3541,3.959,3.8051,11.9555,20.7378,7.7271,6.0206,4.6869,3.6019,1.5328,4.921
1,1.6914,5.5387,3.8067,3.2334,11.0857,20.7233,6.4103,5.8171,4.3348,3.8715,1.6699,4.8618
1,1.7179,6.2184,3.7864,3.1008,10.4409,23.0865,7.0065,5.8815,3.3182,4.2015,2.1143,5.5081
1,1.5943,6.2212,3.8095,2.7775,10.4659,22.933,5.8442,5.5324,4.0447,4.3027,2.0245,5.2448
1,1.5603,6.4602,3.6857,2.6698,10.2072,20.3769,6.7121,6.0197,7.2398,4.4728,1.9796,4.2847
1,1.7156,5.9024,3.5746,2.5225,9.857,19.0634,6.4888,5.5215,7.9024,4.702,1.9007,4.1901
1,1.6787,6.1951,3.5141,2.3289,9.4417,17.5169,6.664,5.6971,8.5019,4.716,1.947,3.8746
1,1.5791,7.8283,3.8292,2.3878,8.7833,16.0158,7.2153,5.2006,8.3779,5.2616,1.972,4.2725
1,1.6714,8.0169,3.666,2.2531,8.6626,14.6671,7.1228,5.2994,8.0463,5.4561,1.9587,3.8963
1,1.5403,7.8787,3.8478,2.0866,8.1985,14.3303,7.0104,5.3815,8.2166,4.8793,2.2113,4.0027
1,1.7408,7.4643,4.1942,2.2942,7.7678,13.4919,8.1273,4.9965,7.659,4.8105,2.0081,4.3861
1,1.512,7.5095,4.2219,2.0524,7.6659,12.1239,7.4667,4.8136,7.0272,4.8799,1.8233,3.9313
1,1.6063,7.5204,4.197,2.0534,6.9075,11.6434,7.713,5.5486,6.8033,5.2141,1.7192,4.104
1,1.6801,7.4779,4.6092,2.1264,6.6259,10.6323,7.9185,6.5236,6.9323,4.6728,1.9864,4.4648
1,1.6696,7.9202,4.2673,2.3496,6.1697,10.7749,8.3037,5.7828,6.8383,4.3978,1.8398,4.3068
1,1.8043,7.9946,4.0798,2.0973,6.1142,10.1832,8.5851,7.5433,7.4547,4.2323,1.861,4.1228
1,1.4835,10.7283,3.8995,2.0191,6.2814,9.3447,8.9132,7.7357,7.9936,4.2669,1.7473,4.0707
1,1.5169,12.3923,5.8728,2.1385,6.5873,9.7191,8.2438,7.5098,7.9821,4.0664,1.8259,3.8048
1,1.7661,12.4272,6.7275,2.422,6.7561,9.8174,8.2402,6.8208,8.1943,3.684,1.6839,3.889
1,1.5952,11.9663,7.5618,2.5519,6.7029,10.0235,7.8464,7.4554,8.1344,3.7042,1.7373,3.7169
1,1.5566,12.0928,8.3514,2.874,6.758,10.7773,7.5524,7.8458,8.3515,3.5962,1.4546,3.9304
1,1.6381,11.8297,8.9671,3.4013,7.4793,11.283,7.7684,6.8983,8.1829,3.6032,1.7757,3.4918
1,1.8414,10.4695,9.5467,2.9755,7.7946,11.4172,7.4112,5.9824,7.8084,3.6497,1.86,3.7895
1,1.7915,10.3675,9.9434,2.8791,7.8993,11.8892,8.0834,5.7049,7.3525,3.3201,1.915,3.5746
1,1.7806,9.9485,10.5642,2.8451,8.5688,12.2009,9.632,6.9406,7.586,3.6304,1.9556,3.7724
1,1.7844,9.6271,10.3977,2.9092,8.438,13.1131,7.9152,7.4889,7.966,4.3095,1.7274,3.7302
1,1.7123,9.6493,11.1799,2.7419,8.0653,18.1347,8.0831,7.8086,7.8517,6.0773,1.9057,3.905
1,1.9624,8.739,12.1754,2.6657,8.1513,16.4136,8.1577,7.3061,7.2859,5.8979,1.7664,3.5232
1,1.9572,7.9791,11.7507,2.4704,7.9775,14.8208,8.0827,7.1914,7.5846,6.0337,1.4898,3.9699
1,1.9036,7.5977,12.6371,2.2856,7.7069,13.5776,7.9178,7.8295,7.9808,6.1934,1.4564,3.6212
1,2.167,7.2696,11.692,2.2974,7.4992,12.7041,6.9918,6.5245,8.2323,5.7858,1.9279,3.5341
1,2.1701,7.1784,11.1896,2.567,7.1747,11.9637,7.5529,7.342,8.3389,5.5496,1.9457,3.1877
1,2.2346,5.9433,10.7058,2.817,7.2252,11.3065,7.554,7.3193,8.7236,5.6976,2.1698,2.8354
1,2.2058,7.3254,9.5185,2.9211,7.0602,11.8269,7.9859,8.4866,9.011,5.6342,2.4558,2.9185
1,2.2728,7.2233,8.8989,2.5765,6.5639,14.0528,7.6465,7.2367,9.8472,5.0363,3.0954,3.0824
1,2.4537,6.8306,8.502,2.8637,6.7585,11.8085,7.6406,7.5281,9.7358,4.4366,3.2636,2.6716
1,2.4891,6.6389,8.0568,2.7115,6.1801,10.4159,7.0058,6.9499,9.8278,4.2325,3.033,3.0528
1,2.4515,7.1397,7.0459,2.5867,5.5408,6.7453,7.1412,6.8041,9.8339,3.683,2.8943,3.2337
1,2.3946,7.059,7.1912,2.4605,5.5915,5.7385,7.1823,5.8091,9.5559,3.3356,2.6839,3.0363
1,2.3711,6.4021,6.7332,2.7421,5.5418,7.241,7.5307,5.7702,9.4594,3.1629,2.7125,2.9125
1,2.5627,6.599,6.0642,3.0649,4.9816,6.2439,6.8634,7.3364,9.3645,3.1252,2.6172,2.8107
1,2.4548,6.3634,6.12,2.9678,4.6339,6.4024,7.1407,6.3941,8.5625,2.693,3.0489,2.8192
1,2.6237,6.7825,5.668,2.7044,4.603,6.0844,7.7307,7.2809,8.3873,2.6341,2.926,3.0115
1,2.4494,6.6537,5.588,2.7431,4.2427,6.1487,6.9035,6.4534,9.0505,2.5671,2.8519,3.1118
1,2.4042,5.3368,5.341,2.5862,4.4337,6.5366,7.5296,6.0582,8.169,2.2684,2.8465,3.1388
1,2.7183,5.6952,5.0506,2.6774,4.9448,5.6653,7.2482,5.7299,8.2575,2.2564,2.9937,3.1069
1,2.6625,7.6134,5.1379,3.2791,7.3962,6.0641,6.5458,6.0148,7.731,2.3365,3.1219,3.1295
1,2.3217,8.7864,5.1592,3.7817,8.0097,5.7834,7.1203,5.558,7.2817,2.3494,2.8423,2.8594
1,2.6575,11.4143,5.4235,3.9243,7.9357,5.6803,7.8343,7.2103,7.0683,2.2292,2.8708,2.9413
1,2.2226,13.7164,5.093,3.4482,8.1463,5.6403,7.6077,6.301,6.6818,2.0332,2.7364,2.9584
1,2.5063,13.9537,5.1419,3.4021,8.0685,5.5043,6.9101,5.9873,6.2666,2.022,2.6999,3.1051
1,2.3683,14.079,6.111,3.1438,8.4112,5.1663,6.764,5.8062,5.7642,1.8904,2.7038,3.0222
1,2.1868,12.7877,6.8949,3.1297,7.6661,5.1249,6.7945,5.2091,6.0792,1.8643,2.4728,2.9396
1,2.4796,11.5311,8.8859,3.0465,8.0455,5.3813,7.355,4.8619,5.8675,1.7403,2.5061,2.8379
1,2.4791,10.9683,9.7117,3.6874,8.4226,5.124,6.6465,5.2033,5.8981,2.0572,2.2773,3.1617
1,2.3896,9.5534,10.7249,4.7945,8.2195,4.9517,6.9138,5.3361,5.3733,1.8385,2.2646,3.3007
1,2.3513,9.7851,11.5729,4.9092,8.3737,5.1688,7.6327,5.4973,4.8456,1.9588,2.111,3.1527
1,2.4092,8.096,11.2927,4.9478,8.1959,5.1045,8.7832,4.9583,5.1342,1.7871,2.2611,3.1822
1,2.3728,7.4967,11.3142,4.6772,7.7144,5.0209,7.9759,4.4475,5.1549,1.8399,2.2249,3.0754
1,2.1924,7.6642,11.2384,4.5828,7.3367,5.13,8.5944,5.7132,4.9559,2.091,2.4627,2.6646
1,2.1444,7.4514,11.6173,4.772,6.9702,5.2172,9.0143,5.259,4.6255,2.4396,2.6185,2.886
1,2.2323,7.2447,10.8148,4.9536,6.8996,5.1878,9.5031,4.8309,4.8909,4.2234,2.385,2.7902
1,2.0778,7.1805,11.2677,4.8546,6.8858,5.3348,9.7975,4.5582,4.9673,5.1708,2.5918,2.8532
1,2.1384,8.4167,10.8929,5.2691,6.9725,5.155,8.6189,5.4381,5.1412,6.2742,2.3782,3.1521
1,1.9754,8.3402,10.5537,5.3035,6.7687,5.0344,9.6356,6.0821,4.9203,7.0711,2.4486,2.9638
1,1.9318,8.6669,10.1209,5.7535,6.794,5.2271,9.4189,4.9882,4.6574,7.6288,2.2166,2.7493
1,2.0174,9.0327,9.5085,5.5099,6.7235,5.5319,9.3711,5.1664,4.6051,7.7297,2.2094,3.1466
1,2.1577,9.5424,8.776,5.172,6.9185,5.1599,10.2461,5.2048,4.5868,7.4085,2.1307,2.6302
1,2.1697,8.9837,7.6512,4.328,7.0952,5.1005,9.1407,5.5372,4.3771,7.2155,1.939,2.8243
1,2.1924,9.039,7.3799,4.2152,7.3591,4.4749,8.8882,5.0276,4.6403,7.2629,2.2972,3.232
1,2.0292,8.9026,6.3207,3.6814,7.4454,4.3234,7.8917,4.9427,4.5952,6.5884,1.8352,2.508
1,2.0757,8.9318,6.1392,2.8244,7.1081,6.3944,8.1062,4.8712,4.4268,6.1601,2.0409,2.7276
1,1.9982,8.7044,5.1415,2.9614,7.3596,6.1641,7.0084,4.5009,4.9468,5.9456,1.9443,2.6813
1,2,8.787,5.0332,2.5973,7.9313,5.7806,8.2634,5.2488,4.5213,5.5563,2.0314,2.8025
1,1.8495,10.7854,4.742,2.5259,8.1271,5.221,9.374,4.9188,4.7299,5.4792,2.0441,2.7156
1,1.8852,10.7269,5.4015,2.5733,10.3535,5.8562,9.2085,4.162,4.4718,5.3472,2.0588,2.8131
1,1.8814,14.0825,5.2311,2.6703,10.5354,6.4797,9.4934,4.5864,4.699,5.1929,2.0824,2.7925
1,2.1447,13.2397,5.1429,2.438,11.4288,7.078,9.9726,4.0795,4.2814,5.3096,2.0052,2.7265
1,2.7736,13.2775,4.7372,2.3935,11.0867,7.6017,9.9961,5.021,4.2862,5.0538,2.2192,2.791
1,3.8613,13.1433,4.7597,2.2704,10.8168,8.0514,11.1065,4.1742,3.6988,4.5197,1.9883,2.6369
1,4.2598,12.3346,4.3488,2.0865,10.587,7.4132,9.9888,4.6828,4.1623,4.3154,2.0773,2.7466
1,4.6729,11.2362,4.4982,1.8991,9.6075,8.3386,10.2893,5.5347,4.8841,4.1968,1.9591,2.9856
1,5.4254,10.4658,4.5047,1.8521,9.2116,8.3188,9.7435,4.916,4.2205,4.2487,2.1456,2.9732
1,6.1905,9.4373,4.9638,1.9388,9.949,7.8137,9.2255,4.8639,4.5125,3.8467,1.9779,2.8771
1,6.4049,9.2235,4.8545,1.865,10.3204,7.9911,9.6753,5.41,4.409,3.7056,1.9721,2.7892
1,6.6477,8.4208,4.4097,1.8658,10.0814,8.9396,9.9591,5.2013,4.4664,4.1507,2.2476,2.5877
1,6.9297,9.6647,4.4377,1.6581,10.1174,10.3527,9.6683,3.8705,4.2403,4.0631,2.1647,2.7913
1,6.8677,10.3375,4.1846,1.6588,9.5195,10.829,11.0177,4.66,4.6765,4.2935,2.2727,2.8382
1,6.8323,10.0726,4.1042,1.6236,9.2104,11.8214,11.3747,4.7488,4.4955,4.5838,2.0817,2.657
1,7.0082,9.5968,3.6096,1.7799,9.2713,12.2965,11.198,4.8229,3.8517,4.9235,2.1558,2.9022
1,6.8113,10.5018,3.6031,1.7797,8.7822,15.5283,10.4489,4.5074,3.5104,5.4084,1.9214,2.7337
1,6.3734,10.0005,3.6724,1.8012,8.3203,16.7393,11.1441,4.6712,4.0994,5.9802,2.0775,2.6308
1,6.5283,9.7951,3.6524,1.822,8.5064,18.0743,10.4901,4.4111,5.1912,7.0021,2.046,3.0012
1,6.5622,10.6363,3.368,1.6205,7.3716,16.9096,10.7917,4.6484,5.286,7.0041,1.9636,2.7156
1,6.2943,10.1641,3.0205,1.6006,7.3915,15.9266,10.9463,4.7882,5.1549,7.0931,1.9853,2.5275
1,6.0697,10.6333,3.3114,1.9078,7.8073,16.4165,11.1126,4.2625,5.3688,6.7579,2.2873,2.6485
1,5.8562,10.6611,2.9441,1.7448,7.6231,17.0308,11.1568,4.8849,5.0432,6.3626,2.5218,2.3415
1,5.7648,10.3704,3.1816,1.8257,7.6661,16.0642,10.4981,5.1763,4.1612,5.7241,2.7919,2.7026
1,5.9762,9.8867,3.2145,1.664,7.6003,14.461,11.1104,5.1273,5.2891,5.222,3.2165,2.7057
1,5.4831,10.7688,2.8986,1.9725,7.4413,11.6707,10.1167,4.4118,5.2347,4.7089,3.8666,2.5748
1,5.0962,10.5554,3.4048,1.8206,6.9763,10.1888,10.326,4.5307,5.4863,4.5932,4.2616,2.6855
1,5.0962,8.8925,3.3366,1.7029,6.514,7.4522,11.4565,5.5596,5.5562,4.2792,4.0395,2.9152
1,4.7833,9.2184,3.3571,1.647,5.9583,6.462,11.1845,4.9433,5.5581,3.9487,4.415,2.6532
1,5.0333,10.1885,3.261,1.7518,5.8324,7.6557,10.0358,5.6431,5.2891,3.7936,4.0063,2.9643
1,5.4394,12.5959,4.6687,1.6325,7.627,8.1121,9.6846,3.7761,5.1527,3.7472,4.4115,3.1964
1,6.3937,11.5251,5.6305,1.6448,8.7851,7.2593,8.106,4.2356,4.7362,3.3416,3.7941,3.7226
1,6.7502,10.2962,6.2667,1.6795,10.0758,7.2408,7.5878,3.7748,4.3946,3.1798,3.6726,3.7955
1,6.9412,9.8904,6.0915,1.605,11.0768,7.3217,7.762,3.5915,5.2261,3.0954,3.1172,3.8099
1,6.8945,9.4964,6.3253,1.6309,10.4786,7.4332,8.5066,3.5623,6.0527,2.916,2.7243,3.8092
1,6.5086,7.8078,7.1362,1.7413,10.0834,6.8406,8.7514,4.1773,6.5178,2.8642,2.6359,4.0948
1,6.7344,6.7121,7.7728,1.7898,9.7047,6.1834,8.9027,3.8074,6.9294,2.574,2.6067,3.9347
1,6.6542,7.2858,8.7906,2.5277,9.0473,7.476,8.5944,4.1294,7.3599,2.4049,2.6439,4.3253
1,6.6645,7.1143,9.3102,3.7052,9.0138,6.2231,8.2838,3.7803,8.1224,2.6358,2.5846,4.3016
1,6.6617,7.4725,10.0481,4.7057,8.7732,5.5326,8.0132,4.5702,8.9483,2.9604,2.2132,4.3335
1,6.4729,7.7931,10.2308,4.7989,8.6213,5.5242,7.6892,4.0624,9.0739,2.713,2.141,4.3495
1,6.5139,6.8993,10.2738,4.3181,8.1153,5.3449,7.6853,4.178,9.4217,2.6949,2.142,4.2832
1,6.4336,6.9127,10.6175,4.1249,7.3578,5.3041,7.7161,4.3708,8.8067,2.7565,2.1668,4.3032
1,6.3552,6.4153,9.7387,4.0539,7.0453,5.1564,6.8817,4.0691,8.1208,2.583,2.1545,4.6546
1,5.9828,6.802,9.0498,4.393,6.994,5.4062,7.1558,4.8049,8.2222,2.392,2.2697,4.5735
1,5.9131,6.2659,8.0259,4.4976,6.8641,5.2099,6.636,5.111,7.5604,2.6428,2.1524,4.3431
1,5.3948,6.451,7.4049,4.5892,6.6651,5.3173,6.5305,4.5369,7.4961,2.4304,1.9869,4.1008
1,5.2857,6.3007,6.675,4.7188,7.0426,4.9295,6.5478,4.3855,7.3719,2.4207,2.2715,3.7455
1,5.4515,6.2844,6.6165,4.9368,7.0175,4.7166,6.0563,5.4825,7.5026,2.3796,2.3423,3.782
1,5.5849,6.51,5.6511,4.3299,7.3416,4.9972,6.0985,4.0961,7.7482,2.3734,2.0602,3.5949
1,5.3964,5.998,5.301,4.4627,7.7303,5.0593,5.4203,4.9181,7.1198,2.5192,2.0566,3.3897
1,5.1905,6.6327,5.1338,4.1667,7.5572,4.1198,6.2073,4.1923,7.0124,2.5098,2.2303,3.3429
1,4.5844,6.7189,5.0057,4.3202,6.8873,4.331,6.4959,3.7402,7.2004,2.5207,2.1768,3.0946
1,4.4343,6.3311,4.7243,4.3465,7.0427,5.1304,5.7568,4.1001,6.7231,2.673,2.0021,3.175
1,4.3281,6.7369,3.8879,4.0833,6.9997,5.5802,6.4146,3.9754,7.6395,2.5067,2.0764,2.9677
1,3.8193,6.9544,4.045,3.5116,6.71,5.6423,5.9723,4.2409,7.4795,2.4118,1.7034,2.6839
1,4.1099,6.9475,3.9576,3.4758,6.1278,5.4064,6.1791,4.2102,7.3459,2.3236,1.7794,2.9366
1,4.2643,6.9058,3.4782,3.3559,5.9465,6.3393,5.7215,3.9519,7.3328,2.6056,1.4623,3.2638
1,4.3064,7.3669,3.3671,3.0552,5.7637,7.4567,5.21,4.0085,7.0597,2.3423,1.61,3.6557
1,4.1344,7.1028,3.7897,3.0018,5.5331,8.6127,6.0166,3.1747,6.9613,2.5434,2.1062,3.8702
1,4.2161,7.5425,4.2699,2.8882,5.1979,9.4978,5.7522,3.1631,6.7313,2.5017,1.931,3.9968
1,4.2731,9.0077,4.2331,3.0201,5.1017,9.2425,5.1022,3.8383,6.7857,2.6777,1.7315,3.8421
1,3.976,10.5053,5.1219,3.2441,5.2832,10.4419,5.2837,3.5216,6.4255,2.4437,1.937,4.0676
1,4.0311,10.9588,5.3781,3.8481,4.6284,10.5922,5.7466,3.3989,6.125,2.6483,1.9391,4.1314
1,4.1329,10.1179,5.9971,4.4935,4.6658,8.7605,6.4756,4.1011,5.7819,2.2971,2.0609,4.1632
1,4.2244,10.6756,7.2443,4.2857,5.6861,9.0181,6.0756,3.3757,5.9842,2.3746,1.8906,4.3401
1,4.4108,11.0269,8.636,4.2357,5.7745,8.4438,5.3655,3.2408,5.5931,2.3401,1.9204,4.06
1,4.5051,10.4444,9.0756,5.195,5.9978,7.8534,5.3792,3.5323,5.6854,2.3411,1.9373,4.2429
1,4.6838,9.2374,10.1421,5.3616,5.5876,8.5289,6.0943,3.957,5.4881,2.4271,2.1138,4.1232
1,4.759,9.4727,10.3706,5.3024,5.6243,8.8914,6.1121,3.2244,5.4914,2.57,1.7675,4.0842
1,4.3045,9.1041,10.4284,5.1504,5.2798,9.1435,6.407,4.9941,5.5646,2.6712,1.7947,3.7648
1,3.8781,9.9497,10.6676,4.744,5.0983,9.3431,7.3906,4.8517,5.4707,2.3504,1.9594,4.1187
1,3.6389,9.0788,9.9072,4.2582,4.5647,9.598,7.7611,3.7502,5.5316,3.1578,1.8301,3.96
1,3.1668,9.3575,9.7551,3.9481,4.5633,9.8579,7.5733,4.3178,5.2948,3.9616,1.9192,4.058
1,2.9295,10.0513,9.2556,3.9331,4.2968,10.2949,7.5204,4.7926,5.0966,4.2829,1.9094,3.8708
1,2.7528,9.9663,8.5361,4.0057,4.0796,10.5408,7.4684,3.9042,5.0529,4.9292,1.9877,3.9055
1,2.5093,9.3485,8.9365,3.6036,4.0773,9.8524,7.0355,3.7864,5.3117,5.0994,2.4567,3.9282
1,2.164,9.6408,8.6175,3.5598,4.2731,11.4128,7.1581,4.1239,4.8971,5.3167,2.0007,3.6896
1,2.3524,10.1467,7.3678,3.1568,4.273,10.7019,6.9021,4.2622,5,5.4815,2.4763,3.9447
1,2.402,10.1262,6.8642,2.7287,4.2933,10.8756,6.6459,3.9748,4.6469,5.2966,2.5536,3.7541
1,1.9756,9.9234,5.9525,2.5963,4.1639,11.2664,7.1947,3.5357,4.9959,5.2096,2.5379,3.5689
1,1.9859,8.9561,5.68,2.811,3.8732,10.9742,6.7397,3.7838,4.621,5.8088,2.2805,3.3824
1,2.0916,9.085,4.9959,2.7168,4.0052,10.6713,6.9478,3.556,4.6212,6.3603,2.8855,3.5602
1,1.8304,8.2984,4.6628,2.757,3.6967,11.6268,6.2475,3.7594,4.6722,6.5361,2.6525,3.2827
1,1.7933,8.3952,4.1979,2.7265,3.8443,12.394,6.6878,3.5376,4.4237,6.6155,2.4413,3.3793
