odour stim;12/11/2020 Female1;12/11/2020 Female2;12/11/2020 Male7;12/11/2020 Female8;13/11/2020 Female2;13/11/2020 Male1;13/11/2020 Male5;13/11/2020 Male6;13/11/2020 Female11;11/12/2020 Male2;15/12/2020 Female2;08/02/2021 Male6;08/11/2020 Male4
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;6.9096;5.1999;11.3253;7.7393;5.1708;5.9021;5.9304;6.8305;11.1331;15.1707;14.8608;17.787;20.7648
0.5;6.6392;4.7584;11.926;7.9598;6.0713;7.1927;6.4042;6.7055;12.625;14.4292;13.4487;16.691;21.5298
0.5;5.9666;4.3405;12.8052;8.5294;6.1197;6.6675;7.0772;7.2777;12.3945;12.7506;13.0046;15.4253;20.4286
0.5;6.2707;4.575;13.0311;9.3778;6.6011;5.9509;7.5045;6.8352;12.1554;14.5494;14.6431;14.7974;20.0845
0.5;7.2162;4.5856;11.7786;8.4554;6.5786;5.3531;8.3208;6.482;11.5821;15.3144;14.4765;16.2209;19.5141
0.5;7.0579;4.5434;12.585;7.3511;7.0121;5.5929;7.4833;6.943;12.0218;15.0665;14.7415;15.4277;20.0231
0.5;7.8875;4.9519;14.6884;7.6597;7.5554;5.9182;8.9337;7.905;11.1991;15.6018;14.3788;14.922;18.4995
0.5;6.4858;4.636;14.7105;8.6281;7.1484;5.9448;9.6179;7.0406;12.0806;14.4067;13.1136;15.875;18.8108
0.5;7.2077;4.2751;14.1295;8.3037;7.6424;6.2056;9.1805;8.4328;13.2877;13.2712;15.2936;15.3139;20.9707
0.5;6.9878;5.0106;14.2372;8.5503;7.344;6.664;9.519;8.2752;13.9363;13.3972;16.6224;14.5642;19.9474
0.5;7.1176;4.7788;14.9313;8.7751;9.4777;5.9602;11.9048;7.4265;11.8885;13.652;15.5221;13.9817;19.7433
0.5;8.2463;4.6204;14.8954;8.4085;8.1188;5.6511;12.3555;6.9685;11.1228;12.8129;15.8546;13.2653;20.6497
0.5;6.8932;4.5862;15.9337;8.8084;6.8275;5.7222;13.2955;7.4152;10.9103;13.804;16.1381;12.893;21.1
0.5;7.0679;4.7525;15.0209;8.3977;6.0221;4.9441;14.5144;6.7255;12.4775;13.6865;15.281;14.467;21.3597
0.5;8.8258;4.3169;13.1192;8.283;5.3153;5.6112;14.3312;6.6737;13.1976;13.1491;15.1998;13.3304;22.0119
0.5;7.7748;4.1199;12.8407;8.6567;5.0939;6.0525;13.0348;5.8891;11.9146;13.9241;14.379;13.3522;20.9288
0.5;7.9525;4.4605;14.2357;7.9523;4.6399;6.6198;12.783;6.8993;13.1577;12.8696;15.3389;12.6547;22.648
0.5;8.022;4.2447;13.8567;8.1174;4.533;6.7815;13.5006;7.6476;11.9105;14.026;16.8685;12.1546;20.3141
0.5;7.7219;3.9211;13.9659;7.8174;4.5969;6.9475;11.5824;7.1592;11.7897;11.9334;17.3845;11.992;19.5916
0.5;8.3354;4.9114;13.7784;7.5491;4.2841;7.0795;13.7807;6.6517;13.9527;11.8547;18.0356;11.369;19.8336
0.5;7.5212;5.4144;13.8945;7.7914;4.2885;5.6966;13.0409;6.2687;12.7116;13.0637;16.5389;11.4052;20.6009
0.5;6.7017;5.0208;14.2465;8.7776;4.1586;5.4848;15.4543;5.8558;12.4105;13.7524;14.9354;11.2817;21.3458
0.5;6.5723;5.7656;15.2146;8.451;4.123;6.0414;16.4071;5.6164;12.355;15.234;15.2485;13.0697;20.5067
0.5;7.5465;5.4056;15.8696;8.406;4.3017;5.1829;16.738;5.5963;12.3447;13.6366;17.2782;14.593;19.6823
0.5;6.8489;4.9676;15.4542;8.7873;4.6588;5.7431;17.6566;5.2497;12.3925;12.8782;17.8166;13.5683;18.8279
0.5;6.6683;4.6173;14.5589;9.157;4.6247;5.5475;18.8835;6.381;11.5899;12.1234;18.9187;16.8451;21.9184
0.5;6.4916;4.6775;14.6704;8.0396;5.0195;4.4484;15.7084;5.9154;13.139;12.6955;20.0508;20.5155;23.1667
0.5;6.1129;4.5271;13.8316;8.5224;4.9803;4.1423;16.671;5.3629;13.6953;14.1159;19.458;21.5712;20.9947
0.5;5.7959;4.2425;14.2177;7.8397;5.3753;4.7508;17.816;5.2248;13.6236;14.743;18.9464;20.6722;21.4442
0.5;5.9275;4.2018;14.4283;8.1799;5.1675;5.2339;19.9192;4.8262;14.4455;15.7091;16.6956;21.1606;20.2755
0.5;5.9307;3.8807;14.726;8.7269;5.6549;4.4102;18.5364;5.8081;15.2263;14.9419;18.466;20.4793;22.4225
0.5;7.2113;4.1595;14.2266;8.3194;5.2766;4.6932;18.4828;5.4277;13.7013;15.1801;17.0803;20.1551;22.0369
0.5;6.0277;3.9885;13.6022;8.1638;4.9028;4.6802;20.3294;5.0913;11.5516;15.0198;17.2127;20.5522;21.8904
0.5;6.254;3.6839;13.6396;7.8174;5.1837;4.9739;21.0714;5.3581;10.4014;14.5361;16.2332;25.4532;22.4289
0.5;6.4064;4.6204;13.6049;7.1614;4.8697;4.7267;19.9583;5.0376;9.2517;13.4488;16.8209;21.679;21.8489
0.5;6.3742;4.1689;14.016;7.5992;4.7169;5.3877;21.291;5.1457;8.4124;14.2282;15.676;24.0412;21.8468
0.5;5.9557;3.8606;13.2387;6.7034;5.1583;4.4792;19.8477;5.426;8.9658;12.9847;15.6046;26.6146;22.3485
0.5;6.0292;4.3528;12.8142;7.4868;5.2005;4.8719;18.2723;4.8733;8.3514;12.9917;14.2333;24.7271;21.1599
0.5;6.5598;3.874;13.3482;7.5284;5.7899;4.9745;17.0317;5.0308;7.7962;13.3702;13.7378;24.5215;22.183
0.5;6.0584;3.8075;12.6024;8.2758;5.2066;4.7105;18.3818;5.3074;7.1418;13.3627;14.333;25.352;22.6864
0.5;6.1505;3.5141;14.1992;6.9141;5.8275;5.2565;18.3158;5.1688;7.027;16.2729;13.824;23.4979;21.8028
