odour stim;30/09/2020 Female3;30/09/2020 Male8;30/10/2020 Female2;30/10/2020 Male9;02/11/2020 Female2;02/11/2020 Male9;02/11/2020 Female11;03/11/2020 Male2;03/11/2020 Male8;04/11/2020 Female2;04/11/2020 Female8;04/11/2020 Female9;25/02/2021 Female9
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;4.0776;4.7891;2.3149;1.8887;2.6028;5.9952;3.2369;3.1859;4.6116;1.6637;1.3527;3.7482;3.2384
0.5;3.8795;4.931;1.8642;1.6121;2.5776;6.169;3.0497;2.9139;4.5968;1.4248;1.3162;4.0677;3.5378
0.5;3.7547;4.8839;1.9985;1.8423;2.5133;6.2356;3.7579;2.8924;4.6642;1.3827;1.43;4.2561;3.1587
0.5;4.046;4.8255;1.8167;2.0114;2.2324;5.8744;3.9991;2.7534;4.5219;1.5351;1.5607;4.3308;3.4185
0.5;3.7054;4.5806;1.815;1.9157;2.3882;5.5337;4.7589;2.8251;4.4284;1.5877;1.4935;4.7586;3.2993
0.5;4.0085;4.5997;1.8962;1.8741;2.494;5.3951;4.6044;2.8991;4.6567;1.6142;1.5245;5.9107;3.4407
0.5;4.1613;3.9015;1.6985;1.8969;2.3913;5.7609;4.6628;3.2529;4.4356;1.7663;1.4525;6.6681;3.6637
0.5;4.0411;4.3973;1.6803;1.7275;2.321;5.6053;4.1034;3.5763;4.4608;1.6694;1.3402;7.1346;3.6142
0.5;4.1878;4.262;1.6715;1.9181;2.1653;5.7701;4.0924;3.4711;4.4866;1.602;1.5572;7.9461;3.5797
0.5;4.179;3.9396;1.6268;1.918;1.9434;5.4473;4.3322;3.4215;4.4376;1.7547;1.4615;8.4507;3.6051
0.5;4.344;4.3444;1.6723;1.9897;2.142;5.7153;4.1644;3.0573;4.5497;1.6976;1.5628;9.2767;3.4223
0.5;4.1523;3.959;1.3292;2.2675;2.3071;5.9517;4.3439;3.2156;4.4212;1.7054;1.3761;9.4123;3.6054
0.5;3.9068;4.112;1.5538;2.3706;2.2217;5.7741;4.2022;3.3797;4.2881;1.5895;1.4868;9.7827;3.4218
0.5;3.8343;4.0331;1.4506;2.2449;2.0988;5.675;4.2297;3.5342;4.1572;1.727;1.4555;9.5302;3.4533
0.5;3.9269;4.229;1.568;2.1632;2.4481;5.6947;4.3911;3.4048;4.0099;1.7419;1.4475;9.8516;3.5566
0.5;3.9489;4.1385;1.5834;2.3503;2.4021;6.1495;3.9067;3.3519;4.163;1.7082;1.3801;9.8447;3.3309
0.5;3.8552;4.2751;1.5721;2.2034;2.6488;5.8937;4.6056;2.8027;4.1283;1.6724;1.6636;10.1833;3.2495
0.5;3.8179;4.1516;1.7353;2.1117;2.9631;5.9451;4.3848;2.5651;3.8186;1.531;1.3618;10.1978;3.2238
0.5;4.0973;4.1208;1.6511;2.5536;3.1799;5.7426;4.5661;2.6422;4.1151;1.6134;1.5417;9.998;3.5683
0.5;3.8878;4.0202;1.2811;2.6535;3.0308;5.6727;5.4772;2.7885;3.6538;1.3476;1.4291;9.6695;3.1369
0.5;3.8713;4.1409;1.7157;2.4927;3.1934;5.6913;4.666;2.8532;3.6551;1.4703;1.4415;9.7828;3.4118
0.5;4.1229;4.2055;1.4417;2.6945;2.9365;5.697;5.074;3.2878;3.9352;1.5653;1.3769;9.818;3.7165
0.5;3.9677;4.2268;1.4591;2.6369;2.9068;5.8479;5.0452;3.1569;3.8745;1.6286;1.3795;9.6749;3.6219
0.5;4.2695;4.295;1.2959;2.8478;2.9057;5.5702;4.7205;3.1957;3.721;1.3493;1.4769;10.087;3.6207
0.5;4.1122;4.7948;1.359;2.8076;2.8253;5.7155;4.3506;3.4552;3.6371;1.3111;1.4595;10.7112;3.7559
0.5;4.1178;4.6467;1.3463;3.1129;2.4447;5.6119;4.222;3.2765;3.4892;1.322;1.4664;10.9649;4.1474
0.5;4.1184;4.4874;1.6954;3.2973;2.8625;5.6386;4.47;3.3142;3.3816;1.2875;1.4654;10.3338;4.0633
0.5;4.1676;4.6906;1.5875;3.3146;2.6256;5.4875;4.0127;3.0641;3.2117;1.5922;1.3949;10.2371;3.6803
0.5;4.1675;4.6785;1.5739;3.2014;2.5245;5.5005;3.5368;3.1896;3.3811;1.3895;1.466;9.8595;3.8723
0.5;4.1061;4.7896;1.2778;2.983;2.293;5.6551;3.2666;2.8286;3.4334;1.5161;1.549;9.9335;3.8481
0.5;4.4269;4.549;1.462;3.4757;2.2248;5.6219;4.1342;2.765;3.4537;1.5661;1.502;9.4167;3.9528
0.5;4.0501;4.5638;1.4908;3.7549;2.1389;5.5696;4.6898;2.5589;3.2292;1.6083;1.6045;9.4447;3.5522
0.5;3.9479;4.8147;1.6688;3.6906;2.2288;5.488;4.9516;2.4791;3.2446;1.6043;1.707;9.5111;3.8902
0.5;4.1422;4.9754;1.4743;3.78;2.4075;5.6004;5.2601;2.513;3.1437;1.7101;1.6763;9.1963;4.1935
0.5;4.4468;4.987;1.4843;4.1205;2.1856;5.5919;5.8553;2.7406;3.2254;1.773;1.8502;9.2871;3.7636
0.5;4.3619;4.9808;1.3195;4.0506;2.3677;5.5378;6.4337;2.7227;3.2258;1.8356;1.9098;9.0096;4.3329
0.5;4.2006;5.1305;1.4699;4.0678;2.2989;5.4003;6.1959;2.6151;3.3074;1.6051;1.7576;9.5436;4.586
0.5;4.1657;4.9978;1.4714;3.6299;2.209;5.5198;6.1513;2.3053;3.1881;1.8745;1.9154;9.1964;3.8959
0.5;4.4291;5.5806;1.531;2.8645;2.4794;5.4832;5.2976;2.414;3.3062;1.746;2.1161;8.8924;4.2288
0.5;4.1993;5.6468;1.4706;2.5642;2.2917;6.0035;4.6504;2.5148;3.4583;1.5826;2.0467;8.4939;4.4627
0.5;3.868;5.6194;1.4492;2.5373;2.0501;5.5101;4.8792;2.6738;3.4555;1.8037;1.9029;8.6746;4.3416
0.5;4.5723;6.8386;1.6128;2.4717;1.8278;5.6858;4.6173;2.9044;3.0074;1.6336;2.0669;9.0534;4.1996
0.5;4.1977;8.0488;1.3686;2.4002;2.0513;5.4904;4.3732;2.3989;3.066;1.5341;1.8918;8.9722;4.2195
0.5;4.0263;8.6682;1.4795;2.4402;1.8614;5.6701;5.1895;2.4591;3.1485;1.4355;2.184;9.1634;4.269
0.5;4.0462;9.363;1.4282;2.4751;2.0026;5.4899;6.2339;2.458;3.2601;1.3771;2.0455;9.1324;4.2519
0.5;4.2921;9.2081;1.4448;2.4332;1.6553;5.4422;6.3488;2.0653;3.2239;1.688;2.7166;8.9169;4.3816
0.5;4.513;8.3638;1.5032;2.101;1.97;5.4839;6.6428;2.0428;3.377;1.4783;3.4927;8.7979;4.2458
0.5;4.2249;9.1674;1.4036;2.382;1.7288;5.4809;6.5457;2.0877;3.2486;1.3886;3.8889;8.1091;4.0151
