odour stim,19/03/2021 Male 2,19/03/2021 Female 3,19/03/2021 Female 4,19/03/2021 Female 5,22/03/2021 Female 5,22/03/2021 Female 8,22/03/2021 Female 9,22/03/2021 Female 10,22/03/2021 Female 12,22/03/2021 Female 13,29/03/2021 Female 1,29/03/2021 Male 2,29/03/2021 Female 4,31/03/2021 Female 2,31/03/2021 Female 7,31/03/2021 Female 8,31/03/2021 Female 11,31/03/2021 Female 12,08/04/2021 Female 4,08/04/2021 Female 6,08/04/2021 Female 11,28/06/2021 Male 17,02/07/2021 Male 3
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,20.2856,18.9122,11.1991,4.7936,18.4318,12.4315,14.5056,9.15,7.934,10.3603,8.2517,6.1346,3.9211,2.6038,1.4429,2.2952,16.1464,4.8143,10.9202,8.4791,5.5958,7.6199,3.0948
0,20.1059,19.7337,11.3579,4.646,18.0194,12.3711,13.7572,9.4448,7.8754,10.1922,8.1501,5.9387,3.9781,2.845,1.4441,2.3727,15.8279,5.3148,10.1224,9.0699,5.2147,7.8151,3.2997
0,19.648,18.4424,11.2254,4.9743,18.1063,12.1707,14.0738,9.1948,7.9053,10.1793,8.2534,5.716,4.1672,2.726,1.0867,2.2295,16.0008,5.0961,10.3574,8.715,5.0421,7.8629,3.0216
0,19.2405,18.8903,11.1669,4.8248,17.9802,11.9849,13.2085,8.8422,7.8871,10.1693,8.029,6.4824,3.9744,2.2528,0.5426,2.3847,15.8617,5.3902,10.647,8.3863,5.1167,8.6732,3.0074
0,19.3158,17.6422,11.1351,4.5267,17.7649,11.4293,12.8229,8.8885,7.7013,9.8862,7.778,5.5362,3.8677,2.7494,1.068,2.5319,15.76,5.2329,11.222,8.3453,4.6416,7.9116,3.0459
0,19.7543,18.6226,10.9956,4.4522,17.7034,11.6448,12.8672,8.6091,7.3442,9.6087,8.3291,6.0131,4.0762,2.4807,0.8373,2.7697,15.5557,5.0111,11.0319,8.3414,5.1383,7.4388,2.6837
0,19.0962,18.8848,10.9911,4.5169,17.0266,11.7278,12.4602,8.2821,7.5346,9.6399,8.4025,6.2521,4.0095,2.4882,1.2459,2.6644,15.8375,5.1055,10.6056,8.3304,5.091,7.4367,2.7147
0,19.9622,17.0975,11.3747,4.4729,17.7057,11.9285,12.249,8.4351,7.2029,9.7513,8.8574,6.5961,3.8439,2.5024,1.51,2.566,15.2033,5.2062,10.8069,8.0965,4.8452,7.2967,2.8191
0,19.7156,17.606,11.2929,4.8077,17.2837,11.6875,11.9282,8.3921,6.809,9.5467,8.6441,5.9985,3.9811,2.1293,1.5596,2.605,15.861,5.7936,10.4804,7.6065,5.1486,7.3146,2.5941
0,20.1701,17.531,11.1727,4.8277,17.5805,11.5903,12.0827,8.49,6.9047,8.8925,8.1942,5.9012,4.0228,2.5573,1.4044,2.5513,15.2186,5.4608,11.24,8.3917,5.1543,7.6997,2.8312
0,19.4232,16.8291,10.9803,4.6984,17.425,11.3234,12.7532,8.4811,6.789,9.4993,7.8402,6.3455,3.9287,2.6997,1.3071,2.4654,15.2385,5.4767,9.9461,8.7197,4.761,9.582,2.7009
0,19.591,21.0731,11.3956,4.6181,17.0552,11.3524,12.5031,8.8545,6.9347,9.6317,7.4116,6.3187,3.9473,2.7178,0.7437,2.3307,15.1138,5.4164,10.1038,8.1,4.9699,11.6581,2.6198
0,19.2008,22.8462,11.2392,4.8885,17.2887,10.9371,13.0544,8.8099,7.0843,9.4529,7.6144,6.1595,4.1732,2.6899,1.3187,2.2987,15.5968,5.2188,9.0117,8.6616,4.6277,12.4713,2.6795
0,20.3174,22.3538,10.6958,4.548,17.5061,10.9329,13.2972,8.6818,7.0906,9.8127,7.8898,5.9275,3.9863,2.601,0.8785,2.3057,15.278,5.3667,9.7995,8.2449,4.9089,12.5099,2.7236
0,20.442,25.994,10.8553,4.3456,17.2058,11.1895,12.0509,8.4847,6.9002,9.7224,7.7434,5.9144,3.7397,2.5725,0.8138,2.4273,15.9344,5.5813,9.2281,8.3695,4.8966,11.7327,2.622
0,20.3318,26.7637,10.8473,4.1592,17.7136,10.8547,12.5787,8.0647,6.993,9.8967,7.6158,5.6253,4.111,2.4033,0.7426,2.4566,15.8411,5.1903,9.4493,8.6054,4.7399,12.3704,2.2622
0,20.046,29.476,10.5901,4.5467,17.3708,10.4745,13.4525,8.5582,6.5765,9.5921,7.9033,5.7302,3.8619,2.8391,1.1863,2.1128,15.4939,5.3309,8.9486,8.7887,5.2557,10.8025,2.6199
0,20.6841,30.5521,10.2085,4.3107,17.5768,11.0837,13.7461,8.7554,6.7125,9.4085,8.4187,5.8397,3.837,2.6045,1.2024,2.4858,15.212,4.8721,9.8723,8.7258,5.7481,10.1337,2.6518
