odour stim;16/10/2020 Male3;30/10/2020 Male6;30/10/2020 Male9;02/11/2020 Female7;02/11/2020 Female8;03/11/2020 Female5;03/11/2020 Male6;03/11/2020 Male10;04/11/2020 Female4;04/11/2020 Female5;08/11/2020 Male1;08/11/2020 Female2;11/11/2020 Female1;11/11/2020 Female2;11/11/2020 Male3
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;1.9141;2.5791;1.8509;0.9491;3.4147;1.8228;4.4965;5.642;1.3609;3.9562;2.1073;0.7997;3.5115;3.8867;2.7762
0.5;2.0226;2.5674;1.836;0.9511;4.016;1.8844;4.2329;5.7432;1.1741;3.8563;2.2996;0.9387;3.7342;3.8437;3.1541
0.5;1.8915;2.4921;1.3581;0.8543;3.7457;1.9332;4.2148;5.8037;1.2237;3.7384;2.198;1.0592;3.9579;3.697;2.8758
0.5;2.1089;2.8426;1.6596;0.8247;3.0288;1.9256;4.1751;5.6266;1.1664;3.5555;2.1577;1.1144;4.0655;3.9111;2.6448
0.5;2.0124;2.6473;1.4043;0.9846;3.3004;1.8509;4.1163;5.4021;1.1645;3.4242;2.4444;1.3953;4.0801;3.8339;2.5902
0.5;2.2403;2.6394;1.4308;0.963;2.9903;1.8833;4.008;5.2715;1.0775;3.435;2.0486;1.4896;4.2128;3.6714;2.9341
0.5;2.156;2.5087;1.3956;1.0573;3.2887;1.7957;3.843;5.3474;1.2057;3.1114;2.1787;1.6146;4.4742;3.7986;2.947
0.5;2.1191;2.5421;1.3965;1.0169;3.5898;2.0099;3.7789;5.4171;1.1588;3.3638;2.1634;1.2937;4.6039;3.6297;2.6583
0.5;2.1834;2.7518;1.6439;1.1003;3.2454;1.9169;3.83;5.3768;1.1751;3.3378;2.0637;1.088;4.4483;3.5104;2.7451
0.5;2.2689;2.9442;1.3468;1.1007;2.9268;1.8771;3.748;5.5185;1.1409;2.8041;2.4602;1.1542;4.5261;3.6043;2.911
0.5;2.1322;2.8086;1.1686;0.9965;3.3162;1.8796;3.7644;4.9268;1.2998;2.7162;2.0335;0.8492;4.4041;3.839;2.9317
0.5;2.0338;2.7638;1.1239;1.0281;3.0833;1.8547;3.76;5.6251;1.2194;2.6586;2.2361;0.9327;4.3058;4.1841;2.8069
0.5;2.09;2.7564;1.1958;1.1004;3.2352;1.8735;3.6563;5.4706;1.1442;2.2301;2.0306;0.8408;4.1958;4.1007;2.7423
0.5;2.2155;2.9023;1.1793;1.7174;3.172;2.0904;3.7028;5.7167;1.0426;2.2386;2.2655;0.7181;3.6466;4.1065;2.9056
0.5;2.1518;2.5942;0.9535;1.5123;3.3102;2.0882;3.6341;5.1815;1.1227;2.1713;2.0619;0.7251;3.5644;4.5253;2.6863
0.5;1.9762;2.8377;1.0735;2.1783;3.3279;1.9307;3.6241;4.9377;1.169;1.8765;2.1556;0.6644;3.7109;5.0055;2.7793
0.5;2.3002;2.9046;1.4242;2.4293;3.3326;1.8733;3.6097;5.1048;1.0593;2.189;2.2761;0.7553;3.5806;5.4289;2.5939
0.5;2.1017;2.8147;1.2422;2.5089;3.4199;1.9962;3.5092;5.4091;1.2178;2.1541;2.2221;0.7948;3.3642;5.0987;3.0155
0.5;2.1939;2.8965;1.2035;2.923;3.4175;1.9543;3.7073;5.1656;1.1283;2.0867;2.4026;0.6587;3.3238;4.3501;2.6018
0.5;1.9215;2.8913;1.2615;2.775;3.2939;1.8997;3.6665;5.0909;1.2371;1.9554;2.3579;0.6829;3.3804;4.5332;2.8228
0.5;2.2963;2.7882;1.2289;2.5146;3.0178;1.8402;3.7279;4.6048;1.1367;1.9546;2.1771;0.6968;3.329;4.603;2.9231
0.5;2.3297;2.7791;1.0692;2.2817;3.0491;2.8476;3.6159;4.5014;1.133;1.9559;2.1665;0.8128;3.4886;4.9444;2.8942
0.5;2.3392;2.8567;1.2894;2.4381;3.3453;2.5583;3.7457;4.9287;1.1726;1.942;2.0489;0.7336;4.2141;5.177;3.1754
0.5;2.2928;2.8375;1.268;2.3354;3.3317;2.481;3.989;5.0451;1.2498;2.0438;2.2508;0.7072;4.9586;4.7777;2.8861
0.5;2.4639;2.9748;1.1523;2.2747;3.1058;2.7817;3.8664;5.0083;1.2328;1.9479;2.4707;0.6923;4.8272;4.4183;2.9236
0.5;2.5666;2.9878;1.3723;2.3764;3.0245;2.8889;3.9313;4.88;1.0649;1.9267;2.3646;0.819;4.7544;4.3957;3.0539
0.5;2.3566;2.9339;1.29;2.3495;3.3552;3.1201;3.7661;5.074;1.1073;1.9851;2.0369;0.7501;4.4531;4.021;2.8439
0.5;2.2981;2.8791;1.3635;2.4675;3.5757;3.3962;3.8639;5.0394;1.1785;1.9072;2.2275;0.9313;4.2107;3.9654;3.1108
0.5;2.1856;2.7641;1.2178;2.5365;5.134;3.5554;3.7361;5.4293;1.1545;2.0057;2.2017;0.8797;3.8423;3.6324;3.3547
0.5;2.4001;2.9651;1.095;2.4575;5.7607;3.1439;3.7251;5.1926;1.129;2.0517;2.317;0.8197;3.9609;3.7783;3.1514
0.5;2.3243;3.1069;0.9572;2.906;7.1977;3.2168;3.774;5.5039;1.2708;2.1143;1.9074;0.9594;3.82;3.8888;3.1315
0.5;2.5867;3.0306;1.1362;3.3287;7.6757;2.9427;4.0609;5.3837;1.2197;2.0568;2.2076;0.8443;3.8139;3.7699;3.3231
0.5;2.4413;3.1424;1.0808;3.8216;6.9203;2.9116;3.925;5.0842;1.2426;1.965;1.9583;0.7896;3.8261;3.4009;3.2332
0.5;2.5401;3.3363;1.1393;4.2806;6.1948;2.6993;3.8551;5.3688;1.2749;2.0515;2.2564;0.9384;3.9446;3.1589;3.2106
0.5;2.6684;3.2008;1.1698;4.4109;6.3471;2.719;3.8332;5.5799;1.311;2.1453;2.3365;0.8295;4.1801;3.5111;3.2684
0.5;2.602;3.0846;1.3083;4.7287;6.5931;2.8126;4.1377;4.968;1.3344;2.1672;2.1487;0.8514;4.4458;3.8293;3.2601
0.5;2.6862;3.1034;1.1116;4.9907;6.1213;2.7307;4.1853;4.9494;1.3479;2.274;2.1935;0.6527;3.961;3.7546;3.2747
0.5;2.7205;2.7649;1.7461;4.9266;6.1474;2.6076;3.9804;4.5723;1.5343;2.1709;2.0772;0.6876;4.1728;3.9956;3.5558
0.5;2.6676;2.9959;1.8118;4.716;5.5171;2.7146;4.1302;4.7556;1.5668;2.032;1.983;0.7803;4.3999;3.9696;3.43
0.5;2.6478;2.6368;2.021;4.4968;5.5951;2.7733;4.1105;4.818;1.8628;1.9589;2.1694;0.8837;4.3906;3.5128;3.2834
0.5;2.7304;2.8442;2.2277;4.0156;5.4843;2.7458;4.3321;4.9847;2.1367;1.9164;2.2817;0.8972;4.351;3.3115;3.6137
0.5;2.6009;2.4774;2.3307;3.2361;5.3814;2.6468;4.2978;5.1221;1.9421;1.9091;2.3971;0.747;4.1324;3.5891;3.4161
0.5;2.6503;2.8003;2.6552;2.7479;5.4969;2.6348;3.9695;5.0025;2.3303;2.0202;2.1121;0.7654;4.0261;3.1844;3.0599
0.5;2.9472;2.7048;2.9417;2.7937;5.7291;2.6519;4.129;4.9506;2.5215;1.8574;2.1194;0.8094;3.6695;3.3114;3.3645
0.5;2.6517;3.0723;3.6468;3.0629;5.7846;2.589;3.9262;5.3912;2.893;1.9075;2.2264;0.8674;3.6991;3.2164;3.505
0.5;2.5551;2.9459;3.3598;2.7802;5.6845;3.0419;4.1586;5.3518;2.9065;2.1944;2.2146;0.9783;3.8638;3.923;3.5178
0.5;2.5217;2.7298;3.6277;2.4913;5.5967;3.006;4.1363;5.292;3.021;2.0189;2.2861;0.9616;3.7189;3.6389;3.4967
0.5;2.7897;2.5763;3.37;2.2311;5.5226;2.4;3.9772;4.8103;3.052;1.6967;2.4576;0.8237;3.6709;3.4273;3.4835
