odour stim;30/10/2020 Female4;30/10/2020 Female10;21/10/2020 Male5;02/11/2020 Female4;02/11/2020 Female8;02/11/2020 Male12;03/11/2020 Female3;03/11/2020 Female9;04/11/2020 Female6;04/11/2020 Male3;08/11/2020 Male3;08/11/2020 Male4;25/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;3.6297;2.886;4.3894;1.6831;-0.2611;5.0855;1.9543;1.9454;1.2535;3.7169;2.7678;6.9361;7.3657
0.5;3.599;3.1245;4.5764;2.1662;0.02289;5.0663;2.0579;1.3955;1.4715;3.6715;3.0486;6.8925;7.5489
0.5;3.627;2.8268;5.7961;1.7693;-0.01513;4.8407;2.0471;1.8981;1.3758;3.9736;3.2634;6.8711;7.7812
0.5;4.3032;3.2391;5.0736;1.7989;0.005814;5.0505;2.108;1.9759;1.1499;3.5502;3.3564;6.8609;7.7754
0.5;3.6202;3.8132;4.7073;1.8124;0.168;4.9195;1.9796;2.0343;1.3711;3.6878;3.4988;6.7453;7.5411
0.5;4.4665;3.5624;5.4057;2.1076;0.206;4.6823;1.994;2.1822;1.3111;3.5121;3.7775;6.7084;7.46
0.5;4.5553;3.5366;5.3767;2.3054;0.09962;4.8208;1.9613;2.0661;1.4353;3.6868;3.7043;6.9436;7.3547
0.5;4.3108;3.512;5.3025;2.2207;-0.0334;4.7311;1.9968;2.2306;1.2481;3.7302;3.7422;6.9041;7.1926
0.5;4.4417;3.2483;5.9621;2.3577;0.03287;4.6647;2.0362;2.1906;1.2269;3.7236;3.5789;6.5461;7.2703
0.5;4.4048;3.0473;6.0914;2.0645;-0.04137;4.879;1.9278;2.6197;1.3598;3.7656;3.5727;6.4634;6.9366
0.5;3.9615;3.1814;7.5492;2.2169;0.06015;4.8866;2.1757;2.4414;1.2362;3.615;3.3628;6.6774;7.6869
0.5;4.252;2.9772;7.3982;2.5705;-0.09444;4.8124;2.1138;3.0119;1.1499;3.8527;3.227;6.8967;6.9376
0.5;4.4391;3.1221;8.17;2.8313;-0.2707;4.5915;2.0585;3.1315;1.2834;3.6574;2.9718;6.896;7.5049
0.5;4.0756;3.3105;7.7018;2.8199;0.03011;4.6335;2.2567;3.4487;1.4103;3.8761;2.8754;6.8301;7.6522
0.5;3.4785;3.1958;7.7599;2.8971;0.2627;4.7705;2.1156;3.33;1.224;3.8114;2.6322;6.9485;7.2458
