odour stim;30/10/2020 Male1;30/10/2020 Male7;02/11/2020 Female1;02/11/2020 Male10;03/11/2020 Male7;04/11/2020 Male1;04/11/2020 Male7;25/02/2021 Female1;25/02/2021 Female2;25/02/2021 Male3;25/02/2021 Male7;25/02/2021 Female8;25/02/2021 Female10
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;6.3928;7.6874;2.4809;5.3798;2.9083;3.8844;3.4862;3.4362;3.3508;5.5558;6.9675;2.9897;2.7159
0.5;6.2668;7.732;2.3071;6.1096;2.8994;3.8564;3.7226;3.5486;3.2482;5.6224;6.713;2.5979;3.1148
0.5;5.8696;8.0922;2.5664;6.0498;2.7536;3.9665;3.596;3.6101;3.3712;5.756;7.146;2.8131;3.1313
0.5;5.35;7.778;2.5063;5.4756;2.715;4.0835;3.4119;3.3364;3.2264;5.5864;6.8098;2.6763;3.2726
0.5;5.4922;7.4851;2.7144;5.6351;2.8091;4.1316;3.4517;3.1023;3.3264;5.4253;6.6742;2.6461;2.8016
0.5;5.507;7.4552;2.3082;5.6218;2.8402;4.0238;3.7919;3.5716;3.3328;5.4271;6.9682;2.7722;2.8767
0.5;5.4791;7.5831;2.5445;5.582;2.955;3.9161;3.5425;3.4833;3.597;5.5175;7.3472;2.9361;2.9153
0.5;5.0643;7.2943;2.6461;5.2262;2.8033;3.9748;2.8461;3.547;3.6867;5.1465;7.0356;2.6049;2.6159
0.5;4.9342;7.2359;2.5642;5.3653;2.9959;3.9769;3.1182;3.1421;3.562;5.1916;7.3913;2.9268;2.8953
0.5;5.1023;7.1415;2.3691;5.3867;2.8918;4.1939;3.2219;2.8315;3.5765;4.6862;7.295;2.8976;2.5548
0.5;4.6981;6.5473;2.7437;5.8005;2.8038;4.3255;3.2011;2.8156;3.6546;4.9413;7.1997;2.8225;2.609
0.5;4.8389;6.43;2.7788;6.0386;2.8941;4.4927;3.0167;2.1575;3.5542;4.6402;6.7486;3.0211;2.5425
0.5;4.8663;6.1299;2.3677;5.9333;2.9566;4.5246;2.9847;2.056;3.7626;4.8886;7.6641;3.0263;2.4551
0.5;4.5081;6.0003;2.3722;5.8149;2.982;4.2509;3.2274;1.3911;4.0509;4.7988;7.8222;3.0083;2.6771
0.5;4.8081;6.2157;2.6488;5.8008;2.9331;4.21;3.2042;1.3962;3.4952;4.7316;7.9693;2.7867;2.6732
0.5;4.4025;6.5627;2.5964;5.9011;2.9947;3.9332;3.0069;1.5502;3.4921;4.7936;7.7459;2.942;2.2577
0.5;4.3904;5.8299;2.4889;6.0243;2.8805;3.966;2.8251;1.7248;3.5464;4.6873;7.8594;2.98;2.3508
0.5;5.1253;6.1072;3;6.0967;2.9782;3.7295;2.7794;2.3717;3.2524;4.836;7.5434;2.9018;2.4901
0.5;4.2973;5.8733;3.1522;5.5717;2.888;3.9139;2.8772;2.8809;3.2682;4.5528;7.6837;3.0378;2.4098
0.5;4.8227;6.036;3.334;5.2095;2.8656;3.8512;2.6143;2.9702;3.3961;4.5928;8.0211;3.0526;2.5543
0.5;5.4537;6.1265;3.255;5.4932;2.6901;3.8219;2.7067;3.4311;3.0967;4.5044;8.1864;3.1514;2.3903
0.5;5.3751;6.0024;3.4226;5.0392;2.7961;3.8684;2.5455;3.7019;3.173;4.5932;8.1198;3.1244;2.5836
0.5;5.262;5.8261;3.2874;5.2965;2.7406;3.9809;2.5548;3.7728;3.4183;4.4408;7.925;3.1478;2.7509
0.5;5.194;5.923;3.614;5.4531;2.8969;3.9063;2.7585;3.3999;3.2717;4.6574;8.2267;3.5604;2.4059
0.5;5.0998;6.0026;4.0203;5.1585;2.8324;3.9499;2.8782;3.3597;3.4352;4.588;8.8292;3.547;2.4213
0.5;4.6784;5.9456;3.9413;5.3147;2.8057;4.1353;3.0021;3.5273;3.4552;4.6472;8.7538;3.5579;2.4946
0.5;5.0936;5.9417;3.7137;5.2411;2.7362;4.0844;2.7403;3.039;3.5423;4.446;8.892;3.4386;2.5887
0.5;5.7643;5.4653;3.754;4.886;2.7766;3.9827;2.7297;2.4559;3.6804;4.6745;8.5705;3.6524;2.3964
0.5;5.7033;5.5746;3.7932;4.649;2.7638;4.1522;3.0358;2.4236;3.7653;4.5944;8.5905;3.6713;2.7243
0.5;5.8228;5.9804;3.6968;4.8461;2.7171;4.2858;3.2028;2.6225;3.6814;4.3688;8.5488;3.4989;2.8276
0.5;6.1342;5.8461;3.5845;4.6469;2.726;4.1859;3.2543;2.2826;3.8666;4.8033;8.3492;3.3651;2.3727
0.5;5.8069;6.1066;3.7901;4.76;2.7309;4.2017;3.0577;3.2539;3.9232;4.3992;9.0045;3.3508;2.5498
0.5;5.912;5.6845;3.7921;5.0097;2.7343;3.8777;2.8499;3.5148;3.8562;4.464;9.7609;3.7398;2.5193
0.5;6.2081;6.0281;3.978;4.4265;2.7481;3.9492;3.1755;3.4036;3.6696;4.4293;8.2024;3.7941;2.2239
0.5;5.8494;5.5886;4.2727;4.4905;2.6584;4.1091;3.0112;3.8673;3.5419;4.4672;7.6439;3.7995;2.5962
0.5;6.4164;5.5357;4.0876;5.0213;2.8129;4.2989;2.8498;3.7973;3.2777;4.4545;7.9938;3.7412;2.2894
0.5;5.6231;5.7518;4.1382;4.8432;2.8353;4.0439;2.7935;3.8098;2.998;4.8325;8.0193;3.9143;2.2563
0.5;5.9713;5.6428;4.0422;5.1226;2.8584;4.136;2.6993;3.9405;2.8788;5.0621;7.7596;3.8008;2.2369
0.5;6.3448;6.0891;3.9755;4.9721;2.7187;4.1543;2.6357;3.6166;2.8519;4.7884;7.5641;3.8026;2.1804
0.5;5.4227;5.3962;3.9151;5.3302;2.7588;3.9015;2.553;3.7353;2.8941;4.8921;7.6959;3.7367;1.9701
0.5;7.0669;5.7053;3.9841;5.3089;2.6601;3.9134;2.7765;3.8393;2.7927;4.9659;7.9653;3.8724;2.0407
0.5;6.8188;5.5237;4.2045;5.1003;2.6152;4.0263;2.3719;3.3827;2.742;4.8829;7.7371;3.479;2.4582
0.5;6.8268;5.6425;4.4437;5.0658;2.6721;3.7573;2.377;3.3078;2.7708;4.9329;7.9712;3.8402;2.4838
0.5;7.4231;5.6491;4.6583;5.3519;2.8371;3.7364;2.4639;3.5658;2.87;4.9436;7.9688;3.6378;1.861
0.5;7.0962;5.8298;4.6921;5.6326;2.9543;3.806;2.3251;3.9939;2.9503;5.2588;8.2396;3.3507;2.4373
0.5;7.4026;5.6914;4.5499;5.6171;2.8005;3.8181;2.3134;3.1253;2.9749;5.3525;7.743;3.4025;2.1697
0.5;7.12;5.5554;4.6224;5.908;2.9872;3.8525;2.2899;3.5225;2.7406;5.6229;7.8527;3.411;2.183
0.5;7.3207;5.448;4.3146;5.3186;2.9969;3.6201;2.3714;3.8186;2.9533;6.1415;8.3643;3.6117;2.0457
0.5;7.1754;5.5644;4.0544;5.3331;2.8821;3.66;2.3136;3.9104;2.814;6.2269;8.1988;3.6806;2.3393
0.5;6.7974;5.7669;3.8515;5.2362;2.9683;3.5549;2.3682;3.8345;2.9872;6.3516;8.3942;3.6302;2.3432
0.5;6.7258;5.5601;3.4167;5.4126;3.0961;3.6051;2.3083;3.7644;2.7839;6.3018;8.3299;3.7102;2.9358
0.5;7.2652;5.9036;2.9924;5.4764;2.9313;3.5611;2.2729;3.8735;3.5411;6.535;8.0424;3.6876;3.2992
0.5;6.5195;5.7908;3.0868;5.7298;3.065;3.6783;2.0227;4.2197;3.6993;6.6436;8.2302;3.7603;3.5514
0.5;6.6948;5.8149;2.9128;5.4046;3.1877;3.4562;2.3252;4.0715;3.8863;7.1017;8.3235;3.8349;3.9957
0.5;6.9418;5.7204;2.9046;5.3872;3.2299;3.5059;2.4124;4.241;4.3392;7.0286;8.1619;3.7371;4.0438
0.5;6.5063;5.6673;2.6943;5.5765;3.4528;3.8064;2.3349;4.2426;4.1201;7.0633;7.8861;3.7472;4.3809
0.5;6.7402;5.913;3.0429;5.6749;3.5134;3.7807;2.4133;3.7779;4.0136;6.6675;8.4463;3.9411;4.7914
0.5;6.5874;5.5395;2.5246;5.3876;4.0898;3.7218;2.549;3.9312;4.0969;6.7765;8.0822;3.8573;5.0496
0.5;6.311;6.1171;2.6445;5.5379;3.757;3.6655;2.5695;3.7508;4.0152;7.0373;8.1664;4.247;5.3715
0.5;6.2609;6.1424;2.5457;5.4698;4.4441;3.6615;2.4325;3.5186;3.9534;7.367;8.4524;3.9869;4.909
0.5;6.6028;6.2884;2.5089;4.994;4.9616;4.0929;2.2459;3.5853;3.8206;7.3633;8.366;4.0554;4.932
0.5;6.7843;6.6309;2.5549;5.2726;5.0764;3.9991;2.327;3.6292;3.3637;7.6443;8.4704;4.0246;5.1982
0.5;6.8752;6.1668;2.5007;4.7816;5.041;3.9807;2.6221;3.6125;3.1998;8.2295;8.3494;3.9044;5.062
0.5;6.1999;6.2769;2.7985;5.1736;4.8178;3.8605;2.7235;3.294;2.9163;8.2171;8.2029;3.7636;5.1497
0.5;6.425;5.9624;2.8809;5.2538;4.4577;3.954;2.4507;3.8931;2.8751;7.6907;8.3119;3.6751;4.579
0.5;6.3768;5.7382;2.916;5.2604;4.5457;4.1471;2.4646;3.5319;2.6408;7.1157;8.3992;3.6779;4.5697
0.5;6.388;6.2273;3.1878;5.5902;4.5534;4.1512;2.3554;3.162;2.6545;7.135;8.6061;3.5909;4.6786
0.5;6.2636;6.0128;3.0614;5.4512;4.4431;4.2902;2.6519;3.4067;2.4262;7.3202;9.1804;3.499;4.5488
0.5;5.9982;5.8759;3.2231;5.2421;4.9259;4.4802;2.6126;3.8225;2.6014;7.5434;8.5076;3.6738;4.0882
0.5;6.2655;5.5465;3.2239;5.5761;5.5468;4.4028;2.5097;3.5214;2.5858;7.5865;8.1005;3.8137;4.4563
0.5;6.1507;5.8887;3.3934;5.1441;5.7116;4.2517;2.3074;3.2091;2.7436;7.5568;7.8306;4.0915;3.8507
0.5;6.319;5.7588;4.0344;5.482;5.6874;4.525;2.5114;3.1395;2.4322;7.7311;7.9808;3.4218;4.1748
0.5;6.4396;5.439;3.7937;5.5161;5.9219;4.7699;2.6944;3.1706;2.7119;7.5136;8.053;3.5192;4.3322
0.5;5.9219;5.5908;3.9668;4.8805;6.3617;4.617;2.4597;3.2172;2.1758;7.8156;7.802;3.6355;4.1649
0.5;5.8645;5.8921;3.7572;5.1058;6.5301;4.1706;2.4281;3.5305;2.4551;7.6498;8.2049;3.7061;3.5769
0.5;5.4891;5.9441;3.5776;5.1173;6.016;4.33;2.4911;3.3617;2.721;7.3699;7.8272;4.2693;3.4913
0.5;5.6501;5.962;3.5974;4.996;5.7759;4.2536;2.5928;3.0396;2.4913;7.8762;8.3526;4.2971;3.7829
0.5;5.4522;6.1052;3.744;4.5073;5.7149;4.3001;2.6671;2.9839;2.2779;7.4743;8.1365;4.7503;3.9617
0.5;5.8902;6.2078;3.7661;4.9546;6.0718;4.4065;2.5531;3.1832;2.4255;7.4843;8.2007;4.9978;3.4538
0.5;5.7634;6.2867;3.7017;5.0094;5.605;4.1044;2.7072;3.502;2.4487;7.3048;8.5018;4.4574;3.4169
0.5;5.5444;5.9606;3.5829;4.7661;5.7425;4.0169;2.6008;3.2469;2.4894;7.1617;8.2796;3.9299;3.0751
0.5;5.55;5.8623;3.2345;4.6618;5.6819;3.8157;2.5526;3.5628;2.8021;6.9372;8.3713;4.0698;3.1207
0.5;5.3354;5.8528;3.2695;4.6904;5.3981;4.0585;2.7924;2.7753;2.4648;6.6338;8.2821;3.7928;3.385
0.5;4.6424;5.8804;3.0283;4.7267;5.1033;3.9234;2.7769;2.7512;2.4093;5.826;8.4973;3.9976;2.8873
0.5;5.2625;6.0814;2.8988;4.6346;5.1577;4.0282;3.2707;2.8523;2.5881;6.1551;8.6294;4.3826;2.959
0.5;5.296;6.0331;2.7972;4.806;5.2131;3.7777;3.5749;3.3544;2.2273;5.6389;8.7327;4.7459;3.5181
0.5;5.2331;6.0242;3.099;4.7702;5.151;4.3434;3.3963;3.1637;2.4394;5.4149;8.2406;5.2071;3.445
0.5;4.7756;6.0524;2.7994;4.7364;4.8696;4.2502;3.353;3.1483;2.1877;5.3495;8.782;5.214;3.0382
