odour stim,29/04/2021 Female9,30/04/2021 Male1,30/04/2021 Male3,30/04/2021 Male5,30/04/2021 Male8,30/04/2021 Female9,30/04/2021 Male11,03/05/2021 Female1,03/05/2021 Male3,03/05/2021 Female4,03/05/2021 Male7,03/05/2021 Female9,05/05/2021 Female1,05/05/2021 Male4,05/05/2021 Female5,05/05/2021 Female6,07/05/2021 Female1,07/05/2021 Male5,19/07/2021 Male1,20/07/2021 Male1,22/07/2021 Male1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,6.0881,2.4696,7.8168,6.7708,2.8497,3.6896,1.5899,5.2615,3.5747,3.4251,5.1594,6.0927,1.9584,3.4132,2.1995,3.2991,4.623,2.5673,8.1434,2.0962,8.1757
0,6.0465,2.5288,7.9941,6.817,2.7562,3.6379,1.8305,5.2845,3.5916,3.3592,5.1109,5.8286,1.9982,3.8085,2.0655,3.1847,4.7943,2.4551,8.362,2.1968,8.2304
0,5.8704,2.5561,8.055,6.7446,2.5899,3.8088,1.7389,5.2568,3.2868,3.3942,4.9429,5.6759,1.7135,3.9198,2.1387,3.2294,4.5448,2.1164,8.2793,2.1459,8.0615
0,5.7361,2.4817,7.3594,6.3804,2.343,3.7775,1.7154,5.5626,3.5683,3.1277,4.7885,5.8671,1.4365,3.8947,2.0528,3.4488,4.877,2.5142,8.4824,2.2356,7.7634
0,5.6248,2.5842,7.3988,7.0057,2.5293,3.6313,1.7183,5.2637,3.7236,3.096,4.5501,5.7007,1.4472,4.0456,2.0018,3.1087,4.7524,2.1681,7.9031,2.1434,7.5429
0,5.469,2.4675,7.3092,6.689,2.6333,3.852,1.7532,5.2917,3.6275,2.9582,4.9595,5.942,1.424,3.9125,1.9814,3.046,4.8989,2.1934,7.8378,2.2007,7.3731
0,5.5992,2.4517,7.6108,7.0903,2.476,3.7221,1.7703,5.3841,3.7663,2.9209,4.6808,5.6501,1.6287,3.9172,1.8821,2.9508,4.4156,2.1313,8.0379,2.0931,7.8468
0,5.4944,2.5144,7.6139,6.4401,2.5472,3.6589,1.812,5.695,3.5253,2.7776,4.7336,6.3628,1.9846,4.0984,1.8544,3.1785,4.3355,1.9647,7.7876,2.2106,7.5878
0,5.3336,2.389,7.5707,6.3524,2.364,3.3479,1.8036,5.4901,3.4664,2.7365,4.5887,5.8296,2.147,4.2249,1.815,2.9406,4.7062,2.0662,7.9662,2.1349,7.2862
0,5.6543,2.4558,7.7815,6.7189,2.3856,3.6888,1.8684,5.4097,3.2091,2.826,4.7679,6.2426,2.1103,4.0553,1.795,3.0249,4.5143,2.1567,7.6219,2.2379,7.5163
0,5.1685,2.226,7.4727,6.5581,2.4644,3.6475,1.7242,5.557,3.1877,2.7653,4.4833,6.2,1.8859,4.205,1.8599,3.1319,4.2452,1.963,7.4621,2.2056,7.3572
0,5.1806,2.3367,7.7555,6.8011,2.6321,3.2882,1.7697,5.5234,3.0872,2.7505,4.1574,6.0793,1.7694,4.1575,1.9247,3.1143,4.5185,1.7419,7.3973,2.0702,7.2345
0,5.2317,2.3181,7.44,6.6231,2.4439,3.5485,1.904,5.3052,3.1288,2.8057,4.1435,6.4722,1.3928,4.107,1.9338,3.409,4.2612,2.052,7.7184,2.37,7.2623
0,5.162,2.2933,7.5541,7.0782,2.5953,3.5256,2.0357,5.6263,3.1368,2.7905,4.4618,5.8533,1.5038,4.0454,2.0935,3.5217,4.3373,1.9618,7.7006,2.2863,7.2405
0,5.303,2.2989,7.7466,7.1115,2.6464,3.511,1.8466,5.4324,3.1727,2.7859,4.3558,5.9238,1.904,3.9702,2.1856,3.3566,4.6055,2.0359,7.7982,2.1255,7.1218
0,5.656,2.2386,7.583,7.6435,2.7264,3.4502,1.8379,5.5658,3.1659,2.7604,4.3336,5.9459,2.063,4.0005,2.2268,3.379,4.6625,1.8869,7.528,2.2366,7.042
0,5.4463,2.3222,7.4676,6.9832,2.7609,3.4557,1.8305,5.3982,3.1361,2.7205,4.0616,5.8993,2.4822,3.9223,2.1798,3.159,4.7022,1.7076,7.6856,1.9708,6.9867
0,5.6017,2.3077,8.0146,7.4475,2.8194,3.6165,2.0158,5.3625,3.1325,2.6394,4.1676,5.9558,2.2916,4.0607,2.1654,3.1266,4.8432,1.8353,7.721,2.0423,6.4774
0,5.8909,2.3619,7.712,7.0207,2.5588,3.6994,2.0293,5.6939,3.2845,2.6541,4.1411,5.7008,2.3901,3.9065,2.1587,3.173,4.6315,1.8803,7.608,2.0653,6.7088
0,5.5057,2.4536,7.2752,7.4476,2.6011,3.7883,2.009,5.451,3.2524,2.7687,4.0841,5.5392,2.4492,3.9264,2.1923,2.8939,4.5103,1.7088,7.4535,2.0283,6.7785
0,5.3531,2.4242,7.4044,7.1562,2.6708,3.9341,1.9272,5.5582,3.2912,2.6704,4.1406,5.7559,2.5012,3.8951,2.0642,2.8355,4.5351,1.6275,7.3507,2.0928,6.7875
0,5.7569,2.5468,7.591,7.2454,2.7801,3.8692,1.9363,5.7983,3.3966,2.7916,4.1789,5.603,2.5908,3.8974,2.0905,2.7161,4.5892,1.7735,7.199,1.9109,6.4375
0,5.3478,2.553,7.1164,7.223,2.6567,4.188,2.0084,5.6347,3.1748,2.7448,4.333,5.9226,2.6301,4.1249,2.0322,2.7206,4.3427,1.7054,7.2677,1.9401,6.5149
