odour stim;07/12/2020 Female12;09/12/2020 Female6;09/12/2020 Female10;09/12/2020 Female12;11/12/2020 Female6;11/12/2020 Unknown10;14/12/2020 Male6;14/12/2020 Female10;15/12/2020 Female1;15/12/2020 Male7;09/02/2021 Male4;10/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;17.5082;13.4281;20.7047;15.3397;26.8643;12.5629;20.96;12.4922;18.6221;23.4061;19.2974;15.1778
0.5;17.8344;13.0619;19.0697;13.5467;22.9592;13.786;23.2162;11.8897;17.4147;23.1501;18.1979;15.0663
0.5;16.9583;16.268;20.0319;16.0517;22.2721;12.9591;28.1059;11.7397;19.5086;23.0512;20.1584;13.9487
0.5;13.7372;15.9629;18.9352;15.8298;23.175;13.904;29.5848;10.9155;18.6456;23.113;19.1972;12.7273
0.5;16.5234;17.6476;19.2205;15.5262;23.7933;12.6469;28.3439;10.7951;20.0955;23.0126;19.4865;13.3056
0.5;15.9565;17.3988;19.8794;19.31;28.476;13.4377;23.9108;10.212;21.7237;23.9389;20.8939;13.0704
0.5;16.142;17.4784;18.5412;17.8525;27.6269;14.3939;22.4815;11.5995;21.6762;23.1949;20.158;13.0163
0.5;13.1993;19.1088;19.067;16.1187;25.5396;14.3574;20.0492;12.116;20.4892;22.9673;20.176;13.3354
0.5;12.464;17.1776;19.9391;16.5347;24.4272;14.7002;23.0796;13.9841;19.6997;23.1137;20.9728;12.6066
0.5;14.2663;17.5846;18.8304;16.8038;24.4654;14.8223;26.684;13.1902;20.0838;22.8233;18.9795;12.3603
0.5;15.7603;19.2601;17.4284;15.6294;24.3777;14.424;32.0094;13.3076;23.1278;22.5719;20.9632;13.9538
0.5;15.777;19.1207;20.3148;14.5158;22.4956;13.3346;31.8236;12.113;21.5416;22.415;22.2885;14.7734
0.5;16.8237;18.745;19.0092;13.2508;21.1407;13.6119;28.291;14.214;21.7616;22.0816;20.1515;13.2726
0.5;15.8694;18.6967;19.4164;12.8607;23.4865;13.3165;27.8768;15.8181;20.9378;22.278;19.2377;14.5711
0.5;14.2032;16.8757;18.9237;14.2286;25.2927;14.3939;28.5665;13.7541;22.227;22.1525;21.075;14.5169
0.5;18.4091;17.3277;21.6886;14.6582;23.9207;14.7292;29.293;17.1467;21.458;21.9391;19.9127;13.6825
0.5;15.4054;16.9061;20.1175;13.046;24.9592;16.1028;27.3431;14.9067;22.6205;21.644;19.1189;15.8053
0.5;16.1755;20.1197;18.1141;12.3827;26.0205;14.0216;25.1902;14.9011;22.7558;21.8733;20.0184;16.1341
0.5;16.0097;19.6564;16.4002;14.4903;25.7657;13.3107;26.4466;13.027;23.7745;21.6245;18.7775;16.2816
0.5;18.1716;17.9339;18.5365;16.1767;28.5583;12.0607;27.9058;14.5273;22.2685;22.4683;17.1345;16.2786
0.5;16.7791;16.3797;18.2333;15.2635;29.9845;14.5307;27.2594;14.0098;22.089;21.7208;18.0575;14.8369
0.5;19.3395;18.5932;16.5967;15.3974;27.1501;15.0155;29.4207;13.0216;21.5364;21.4348;19.2332;16.1285
0.5;16.3542;21.9647;19.0556;14.3546;28.3208;13.7412;31.7829;15.1386;19.675;22.3293;18.9987;14.9032
0.5;17.5277;21.4004;17.9674;13.0983;25.9046;14.3102;29.2267;14.0743;22.027;21.4324;20.2633;13.2642
0.5;15.8023;19.7017;16.4734;15.3952;27.4006;13.8461;31.9958;16.8929;20.7268;21.5234;20.6008;13.4516
0.5;15.7547;20.9367;15.3458;16.8934;29.2501;14.8895;29.2531;16.5134;23.3942;21.2998;17.0609;13.727
0.5;18.5935;20.5418;14.9356;16.1653;27.766;15.0271;26.5283;14.7017;23.0642;21.3734;17.9407;12.6062
0.5;18.0777;21.5208;17.0214;14.8489;29.0601;15.8399;29.7514;13.826;22.4146;21.2725;18.1223;12.677
0.5;16.453;19.5682;16.2267;14.0343;28.3395;16.1675;29.7567;11.913;20.9316;21.394;18.2397;12.4309
0.5;15.6225;21.5566;16.9401;16.9173;24.012;15.0662;29.9183;12.2205;18.243;21.8213;19.7128;13.7315
0.5;16.4554;20.2881;17.1656;17.5341;24.0485;15.1139;29.9539;11.3482;18.7802;22.1424;19.1784;12.2005
0.5;17.3188;18.321;16.1879;17.5439;24.1594;14.7354;31.825;14.8699;16.3961;21.9957;17.0987;13.8612
0.5;17.0298;16.6602;16.8137;17.3572;27.9916;15.4889;30.033;13.6748;16.7764;22.0263;15.6116;14.5417
0.5;15.622;14.3986;16.4584;17.4747;31.4034;12.3847;26.9636;13.2421;19.0568;21.6445;14.4265;14.9784
0.5;12.9027;12.8696;16.5089;16.7498;28.0373;14.0517;28.7293;12.8039;21.1996;21.7322;13.8597;14.1154
0.5;9.5022;11.8595;16.775;15.8956;27.6495;14.0662;26.8903;11.2196;22.2552;20.8623;14.4596;12.8669
0.5;10.4662;11.4493;16.187;17.4295;28.7767;14.2576;28.0856;12.0924;21.3577;21.3031;13.3365;12.2544
0.5;9.3695;11.353;16.7301;16.1081;27.8072;13.9014;27.5801;12.0026;19.7201;21.7559;12.7162;11.9796
0.5;10.4731;10.7724;18.8022;17.8148;28.3193;13.6296;26.7206;12.5301;17.2337;21.645;13.7856;13.8774
0.5;9.7202;10.9423;17.9655;19.349;28.1227;12.1947;28.5757;12.5687;20.0164;21.2881;13.2086;14.5064
0.5;9.3023;10.5937;16.435;17.4555;27.9244;11.4392;29.3252;12.1677;21.9888;20.8836;11.6327;13.4888
0.5;10.1906;10.6378;15.3751;14.6583;27.7112;10.8667;32.4178;11.0367;19.4867;21.7623;11.6394;12.8404
0.5;9.461;10.4715;16.834;14.0545;28.2388;10.7223;32.9079;10.9038;17.7093;21.9301;12.2943;14.3632
