odour stim;16/11/2020 Female6;16/10/2020 Male8;17/11/2020 Male5;17/11/2020 Female11;18/11/2020 Female5;19/11/2020 Male3;19/11/2020 Female8;20/11/2020 Female2;20/11/2020 Male7;23/11/2020 Female3;23/11/2020 Male7;25/11/2020 Female3;16/02/2021 Female7
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0.5;5.4665;1.8613;14.4318;7.2875;8.2519;14.3468;14.5931;15.9393;10.2768;6.2918;18.5648;5.3677;3.8645
0.5;5.6709;2.3454;16.6831;7.4287;8.4865;13.6729;15.6025;15.672;10.2495;6.2658;15.9955;5.2035;3.9906
0.5;5.775;2.2339;13.9206;7.4535;7.3984;14.2113;15.3965;15.4799;9.0299;6.6989;15.1855;5.337;4.239
0.5;5.2942;2.5322;13.6888;8.0813;7.1098;14.2517;15.5627;14.6586;8.7771;7.1518;14.8701;5.6696;4.1789
0.5;6.3365;2.338;13.3081;7.5154;8.3711;12.8611;15.4904;14.2298;9.2992;7.0784;14.3055;5.5431;4.0433
0.5;6.4376;2.0677;14.3645;8.0034;9.3169;13.0467;15.2309;14.8106;9.4099;7.7842;13.2446;5.1614;4.2805
0.5;6.194;2.3915;13.8338;8.2407;10.9843;13.2812;14.9735;15.0591;8.7436;7.0187;11.3863;5.4875;4.3697
0.5;6.6906;2.6413;16.6944;9.1566;10.7555;13.5951;13.9715;13.6436;8.6422;7.3464;10.4931;5.0988;3.6186
0.5;6.363;2.2497;15.197;8.9934;11.2082;13.066;14.2922;14.7524;8.1812;7.3776;10.0473;5.1427;4.4335
0.5;5.9377;2.2185;13.8085;9.59;11.218;11.8654;14.1845;15.1534;8.7606;6.5909;10.3458;5.1456;4.7855
0.5;5.7963;2.1611;15.3855;8.2456;9.53;12.3354;14.1597;14.3133;9.1515;7.3452;9.6503;4.6888;5.1228
0.5;5.1805;2.2729;16.013;8.3644;8.9605;13.0061;14.0606;12.5461;9.1742;7.6242;10.4274;5.0668;5.0908
0.5;5.1557;2.0559;15.2977;10.112;8.6027;13.6159;12.4386;11.8262;9.7569;6.9914;9.2737;5.258;4.9666
0.5;5.4753;2.1507;15.6605;9.0769;9.229;13.7789;12.7119;11.1013;9.3308;6.8725;8.9917;4.3571;4.858
0.5;5.6193;2.2287;15.0006;9.2747;8.2013;12.9228;14.2737;11.473;10.1315;7.4151;8.6779;5.0208;3.9724
0.5;5.3726;2.0512;16.3477;10.3572;8.9974;13.2515;14.4192;11.9638;10.8584;7.6626;7.3161;5.0047;3.9119
0.5;5.3005;2.3866;16.4441;10.6681;8.2417;12.6889;15.6468;11.2342;11.0934;7.5487;7.6135;5.2359;4.712
0.5;5.2014;2.2466;19.5815;10.9112;9.1522;13.0787;16.3181;10.0625;10.715;7.4917;7.3613;4.9348;5.227
0.5;5.5186;2.5735;18.0601;10.3737;8.4513;12.1717;15.5028;11.1655;10.0621;8.0292;6.7273;5.4532;5.2491
0.5;5.6723;2.7769;18.2712;11.4037;7.9052;12.6641;15.1018;10.482;10.5222;7.3912;6.615;6.0486;5.5186
0.5;5.4995;2.8453;15.4573;10.1709;7.9752;12.2546;15.027;10.4379;9.7064;7.7421;6.4262;5.8619;5.5676
0.5;5.1324;2.5691;16.7288;10.8063;9.3902;10.2247;15.9044;9.7707;10.6265;7.9418;6.3072;6.1806;4.415
0.5;5.0593;2.4778;16.6474;11.7906;8.7625;8.702;15.7201;10.149;10.3251;8.0431;6.294;6.5723;5.3167
0.5;5.4585;2.3541;17.3969;13.6945;8.9798;7.0122;15.6998;9.889;10.2066;8.4696;6.9171;7.0754;4.9281
0.5;5.1503;2.5215;17.6964;16.5537;9.8096;6.5584;15.9553;10.3223;10.6482;7.8145;6.8853;6.7834;5.1341
0.5;5.1323;2.3134;16.9323;16.0507;10.8333;5.0897;16.2445;11.1663;10.287;7.9817;5.9886;6.4421;5.571
0.5;5.1682;2.1647;15.8408;15.6078;10.2809;5.0943;16.2528;10.4006;9.9677;8.7777;6.2656;6.6742;5.3089
0.5;5.1455;2.8328;15.5065;15.2321;11.5266;4.7651;15.9131;9.5217;9.5284;8.0048;5.6081;7.4579;5.4037
0.5;4.8474;3.0857;15.6134;14.4341;10.9756;3.6003;15.4481;9.7812;9.3022;7.8244;5.5136;6.6481;5.0855
0.5;4.7346;2.8306;14.2865;12.8426;9.7204;1.8771;15.1753;9.5543;9.5875;7.6526;5.5542;5.9815;5.389
0.5;4.4927;2.862;16.3462;13.5279;10.6429;1.6469;13.58;10.201;9.5955;7.6997;5.6187;5.8105;4.7416
0.5;4.9418;2.844;15.8267;15.4396;9.1382;1.713;13.2709;9.2415;10.4202;7.9206;5.7989;5.9566;4.719
0.5;5.1042;3.2181;14.9771;18.3944;8.6201;2.0564;14.425;8.7155;10.9412;7.9033;5.9837;5.234;5.2568
0.5;5.3895;3.2851;15.8013;19.1886;9.4958;2.1225;14.5378;8.6282;12.2286;7.3054;5.8328;5.9542;4.2871
0.5;5.1426;4.093;15.8635;18.0094;9.3481;1.6562;14.6032;9.1137;13.148;7.5824;6.1947;5.5037;4.5294
0.5;4.7567;3.6324;16.4349;17.7194;9.0297;1.6003;14.4036;9.2085;14.0514;8.0954;6.799;5.5284;4.3665
0.5;5.2392;3.5873;17.1777;16.167;9.3441;1.5113;14.1547;9.7429;14.6623;7.8977;6.0459;5.8058;4.2233
0.5;5.273;3.3823;15.0141;16.615;8.311;1.4505;13.9664;10.8406;14.0798;8.2441;5.7812;5.9421;4.3909
0.5;5.5828;3.1131;13.8796;17.3921;9.204;1.3676;13.7426;9.8467;14.0562;8.2169;5.7754;6.4515;5.3898
0.5;5.9247;3.1787;14.9941;15.7881;9.0061;1.3169;14.1992;9.8666;13.812;8.0448;5.5722;5.3132;5.0978
0.5;5.2033;2.649;15.6615;17.3496;8.5391;1.1996;15.6727;10.6695;14.3001;7.9445;5.7102;5.641;4.4537
0.5;5.8007;3.011;15.7054;14.4389;8.9235;1.2997;14.3221;9.6123;14.4125;8.152;6.5359;5.0964;4.3744
0.5;5.4232;2.815;13.8402;13.9709;8.145;1.3354;13.2345;10.2101;15.1618;8.6015;5.6235;5.5658;4.5548
0.5;5.4652;2.9338;14.0669;16.8594;9.1512;1.2576;13.8382;9.2859;15.1581;8.7494;5.3471;5.6225;4.3537
0.5;5.9091;3.0032;14.0444;16.9473;9.0782;1.4828;11.8935;8.7804;13.9181;9.3506;5.7478;5.3528;4.1141
0.5;6.5916;3.3062;13.689;16.2028;10.691;1.1208;10.7926;8.8383;14.5189;9.0706;6.1076;5.9906;4.9367
0.5;6.2698;3.8564;15.1352;15.0718;11.6052;1.5785;10.8552;8.4534;15.5148;8.0263;6.2487;6.0591;4.4489
0.5;6.122;3.3859;16.6161;16.0734;10.5668;1.3732;10.2111;8.8761;16.0503;8.4515;6.2404;6.1413;4.2228
0.5;6.2722;2.8655;15.9902;16.3467;9.6538;1.2519;10.3547;8.4981;15.6333;8.6551;6.3787;5.8505;4.3475
0.5;5.7225;2.7964;16.3991;17.3476;9.2853;1.2743;12.7595;8.704;13.9319;8.6209;6.0745;5.6262;4.3466
0.5;5.7471;2.6662;15.7681;15.3476;9.6285;1.4438;13.3216;7.3051;13.2872;8.9463;6.1997;5.3277;3.7056
0.5;5.3105;3.0078;15.2019;12.6018;9.0245;1.2376;12.4801;8.2335;13.5471;9.329;7.2092;5.7762;3.9655
0.5;5.9546;3.0293;12.6445;9.8577;8.4694;2.0296;12.221;8.4461;13.6962;9.7241;7.2317;5.7486;4.7171
0.5;6.3065;3.212;11.4686;10.5509;8.556;1.235;10.9828;7.7943;14.0237;9.0323;6.2405;5.4958;4.4293
0.5;6.7533;3.2317;13.3581;11.1103;9.1114;1.6655;12.5409;8.3854;14.6851;8.2352;5.9614;5.1212;3.4851
0.5;6.6106;3.24;13.9179;10.1804;9.5167;2.8074;12.7543;8.2066;15.5248;8.4617;6.1005;5.5956;3.5541
0.5;7.0841;3.2578;13.2135;12.1021;8.6074;1.5996;12.4528;9.3192;14.91;8.5418;6.3435;5.9456;3.5946
0.5;7.2058;3.6832;12.2969;12.3328;9.3858;1.8966;12.289;8.8655;14.7325;9.4331;8.5404;5.7681;3.7263
0.5;6.931;3.5445;11.3267;10.0977;9.6163;1.3323;12.7853;8.5218;13.7;8.8327;10.2222;5.9912;3.7999
0.5;6.6171;3.2261;11.4688;10.4128;8.7591;1.4541;11.976;7.5271;13.9327;8.7557;10.6353;4.8822;3.1243
0.5;6.8629;3.4783;13.3725;9.2034;8.5483;1.2954;10.813;7.2556;12.5003;8.4687;11.4409;4.121;3.8654
0.5;6.7935;3.2251;13.6658;8.3696;8.8756;0.9884;11.0489;9.3821;12.9645;9.4138;11.1673;5.3037;4.5065
0.5;6.7909;2.8975;13.242;7.609;8.2709;1.0216;11.209;8.8411;12.7062;8.9494;10.8601;4.9955;4.6309
0.5;6.8306;3.6798;13.9551;8.489;9.2503;1.405;9.7375;8.583;13.3604;9.4256;12.1069;5.1225;4.5511
0.5;6.4106;3.6789;13.3304;7.628;9.6187;1.302;8.31;8.7373;13.5273;9.356;14.6742;5.6374;4.571
0.5;6.3834;3.2533;14.1386;8.2809;8.8401;1.5531;8.815;9.5996;13.3696;8.5352;16.1414;5.1112;4.6474
0.5;6.3927;3.6732;16.5288;8.2214;9.9161;1.5684;9.8103;9.8955;13.037;9.3264;18.5011;4.9622;5.0132
0.5;6.2021;4.0131;16.6757;8.0068;10.4745;1.2082;9.9363;8.9205;13.8363;8.3213;16.8099;5.6967;4.5556
0.5;6.3643;4.5274;16.4182;7.676;11.1349;1.0649;10.3459;9.8723;13.887;8.2685;17.1989;5.6294;5.3214
0.5;5.9537;3.219;14.5679;8.499;10.0032;1.0887;11.1524;9.7676;14.8266;9.2614;17.6396;5.5694;5.122
0.5;6.7153;2.8459;14.2437;7.5589;8.4084;1.3773;11.1088;9.8779;13.9252;9.3081;19.0611;5.5402;4.7784
0.5;5.7324;2.6641;13.8935;6.3541;8.7847;1.3412;11.2065;9.2168;14.4689;9.5914;18.7418;7.9654;4.5262
0.5;5.9338;3.0267;16.8218;7.1314;9.9652;2.7428;11.082;10.2413;15.0261;10.0438;19.018;8.6547;4.3534
0.5;6.4453;3.5528;17.9666;7.7234;8.8615;3.753;9.9594;10.989;15.2586;9.0327;19.492;7.768;4.9833
0.5;6.5756;3.7384;17.9571;7.7759;9.7099;2.6125;10.1777;10.7549;14.3286;8.1366;18.7488;6.7134;4.5693
0.5;7.0598;3.417;16.7458;9.4388;10.7605;3.1117;9.5218;11.5415;13.6444;8.5005;18.0281;6.7158;4.9535
0.5;7.0284;3.3869;16.1732;7.7981;9.5665;4.3418;10.5484;10.9321;13.1509;8.5869;18.9083;7.3106;4.4952
0.5;6.7223;2.9903;15.1935;7.4049;8.5617;5.0977;10.1373;10.5395;13.0961;8.9743;18.9559;7.7969;4.2554
0.5;6.0813;3.0604;17.1149;7.9886;7.2589;5.5662;10.2503;10.261;13.1926;9.0918;18.2956;8.0509;4.052
0.5;5.9464;3.0459;16.6476;8.6435;9.1922;6.7116;10.7093;10.928;12.1294;8.6469;17.3961;8.2011;3.7851
0.5;5.9842;2.9718;18.1838;9.8114;9.0646;7.1294;9.6825;11.436;11.7366;7.724;17.1908;8.6046;3.8783
0.5;6.1505;3.6728;20.4531;8.3613;8.549;7.1059;10.3779;11.9351;10.344;8.029;16.616;8.4449;4.0939
0.5;5.9057;4.3228;20.4056;8.2992;9.0208;7.5446;11.2946;11.125;9.4095;8.3187;17.6373;7.8739;4.3176
0.5;5.7777;3.7193;22.8942;10.2437;10.3992;8.0387;10.2785;11.8486;9.8166;8.1726;18.3929;8.7182;5.0026
0.5;5.8973;2.896;23.7983;7.8897;10.2236;8.1922;9.8082;11.6733;9.9842;8.0089;17.7733;9.0617;4.3394
0.5;5.767;2.8113;21.5646;9.3515;9.1487;6.6524;9.3127;11.5167;10.1127;8.3326;17.1555;8.1714;4.0847
0.5;5.9174;2.478;18.28;9.0045;7.6667;6.2423;8.3068;12.8005;10.29;7.588;17.3805;8.015;4.4371
0.5;5.389;2.9482;15.7969;8.4252;7.0649;5.6371;8.6617;12.7199;11.3211;8.1144;18.8393;8.0802;5.0125
0.5;5.5548;3.0733;18.4681;8.6992;7.2679;5.4218;8.8709;13.8337;11.9299;9.7344;19.9042;7.2771;4.7036
0.5;6.5841;2.824;18.8782;9.4623;7.5073;5.81;9.8515;14.0112;11.2889;10.5975;19.0321;7.7644;3.5938
0.5;7.2401;2.8569;18.0071;8.7063;6.9006;5.9028;9.1605;13.7038;9.8944;11.7847;17.4258;7.2225;4.181
0.5;6.7568;3.1541;19.195;9.3176;6.9861;6.8714;8.4159;13.3896;9.8145;11.9034;18.9212;8.0541;4.3287
0.5;6.8549;3.0906;17.4836;9.5178;8.2358;6.1951;9.5636;14.1213;9.0525;11.2116;18.7369;7.6036;4.3746
0.5;6.6009;2.6965;16.7106;12.6969;8.3219;6.4445;9.5132;13.8845;8.1319;11.6041;20.1845;7.6779;3.9009
0.5;6.9634;3.226;17.9637;16.8774;7.9564;6.1793;10.405;14.4952;9.0637;11.9957;19.9127;7.1895;3.878
0.5;6.7929;3.1509;19.2541;16.0234;8.1093;8.9699;9.8488;14.5303;10.6803;12.4992;18.1782;6.99;4.389
0.5;7.5805;3.6864;20.4201;17.2815;8.5126;9.2908;11.0884;14.4292;11.8686;13.0154;16.2764;7.4057;4.4405
0.5;7.0883;4.0788;20.4646;18.0312;7.9179;10.1441;11.3649;14.6481;11.7217;13.0286;15.0783;6.9371;3.9399
0.5;7.5199;4.068;21.732;18.8947;8.2917;9.0085;11.0217;14.319;11.4377;11.9876;14.0376;6.7705;3.3639
0.5;7.0413;4.4721;18.439;20.1036;7.145;7.1423;10.8745;14.4442;11.3409;12.6302;13.2304;6.2905;3.8792
0.5;7.3704;5.0093;16.771;20.8066;7.5441;7.838;10.4367;14.6762;12.6791;13.6984;13.3009;6.72;4.4625
0.5;7.9981;5.3319;16.8049;22.4104;9.2015;7.7466;10.9883;13.4368;13.3389;13.3897;13.5381;7.5023;4.1717
0.5;7.9514;5.3569;16.4775;25.4947;9.9486;7.8394;11.2543;13.5677;12.7958;13.2764;12.7463;7.274;3.4896
0.5;7.6671;5.1465;18.0871;22.4469;9.4254;7.5597;11.2723;13.4115;11.4093;13.2245;12.6916;6.8839;3.9431
0.5;8.0516;6.0022;19.5528;24.0377;9.6595;8.354;12.4564;13.9861;10.8358;12.5687;12.2233;7.0769;4.199
0.5;7.6846;6.0953;23.289;24.5964;11.2753;7.8836;11.8467;12.1174;10.6134;12.9772;12.3973;7.8371;3.8659
0.5;8.1934;5.9084;23.9072;25.0818;11.6013;7.8412;11.9802;11.8361;11.2127;13.1836;12.1576;8.2997;3.9699
0.5;8.2531;6.5908;29.7785;22.8529;9.5463;8.2455;11.0175;11.5123;11.9295;12.7775;11.5561;10.0553;3.9156
0.5;7.9894;7.1487;31.9118;17.9817;9.4822;8.0501;10.4647;11.4988;12.0103;12.8265;11.732;8.6255;4.9347
0.5;7.9876;7.134;30.2534;23.9927;9.3032;9.0568;11.6648;11.0699;12.3061;12.8012;12.2444;7.0409;5.2587
0.5;8.202;6.9982;34.2957;25.0568;10.1212;8.038;12.5617;10.947;11.7574;12.1244;11.4349;6.9401;4.4105
0.5;8.84;6.7039;37.7703;20.224;9.9967;7.9772;14.6434;11.1763;11.3874;12.6186;10.0372;6.7387;4.995
0.5;8.3254;6.5097;32.5522;18.6525;10.3708;8.691;13.2527;12.268;11.3461;12.579;11.1169;6.1083;4.8581
0.5;8.7564;6.3078;27.7818;16.7709;9.8781;8.2353;13.2652;13.3101;9.9108;13.9016;10.2483;5.3485;5.2123
0.5;8.062;6.3614;30.6801;17.7662;9.7634;9.1551;13.1116;12.0964;8.8468;12.2351;10.5215;6.3683;5.7112
0.5;7.8182;6.2781;33.9841;20.8382;11.2303;9.5364;13.0155;12.8681;9.7702;12.5197;10.0898;6.2267;5.71
0.5;8.8357;6.2357;31.4158;19.4069;11.6507;10.2049;12.8806;12.2805;9.925;12.1373;10.4554;5.2281;5.0357
0.5;9.1708;6.391;29.5883;15.2267;10.7049;9.3449;12.7062;12.1894;10.9411;11.9268;9.622;5.8059;4.9981
0.5;9.0213;6.7842;30.3119;15.2609;9.6677;8.8393;12.3018;13.1372;11.6636;12.8218;8.6969;5.2291;5.3416
0.5;9.3436;6.8205;29.6521;13.8971;8.7275;8.8725;13.3843;13.1919;12.0369;13.4544;9.2676;5.9439;6.007
0.5;9.4668;6.9208;31.2607;11.4111;7.7994;8.3292;12.7239;13.2148;12.9111;13.5824;9.9691;5.5592;5.5454
0.5;9.4734;6.769;29.6943;11.1679;8.8373;8.6122;13.1572;12.7844;12.9819;13.1256;9.3813;5.7031;4.8742
0.5;10.2241;6.5806;31.1767;10.8687;8.772;8.7122;13.0265;13.6448;13.1261;12.076;9.5582;5.9851;3.6354
0.5;10.2882;6.6852;33.25;8.9872;7.6242;9.0964;13.6865;12.9797;13.2551;11.3294;9.4797;6.2096;4.0866
0.5;10.368;6.7746;41.4689;12.9052;10.1777;8.8008;12.5457;14.8224;13.3552;11.1728;9.4538;5.0288;5.0004
0.5;10.3699;5.939;44.7624;12.1606;11.2962;8.9607;12.3944;14.3432;13.7499;10.0991;8.5276;5.5738;4.6829
0.5;10.9981;6.102;44.5327;10.2406;9.5489;8.4543;13.5715;13.7795;14.2003;9.9402;8.6154;5.9128;4.1858
0.5;10.417;6.1413;45.65;8.9706;8.7544;9.2561;13.8296;14.5659;15.181;10.1;8.5482;6.2356;4.3874
0.5;10.5905;5.9531;42.1543;10.3088;8.9527;9.035;13.8483;14.4499;15.9331;12.5006;8.4126;6.4024;4.2497
0.5;10.6572;5.798;45.3032;11.3213;10.0166;8.884;12.7121;14.99;16.4501;12.3101;8.7037;5.8608;4.5622
0.5;9.1066;5.7181;44.349;9.6008;9.6571;8.4038;13.8;14.8882;15.3883;11.0171;8.0052;5.7653;4.1493
0.5;8.9344;5.7;42.6129;9.1961;8.9052;9.0953;13.9442;15.6485;14.6566;9.5313;8.214;6.2112;3.7194
0.5;8.6978;5.1235;42.7069;10.2773;8.2645;9.3707;15.1322;14.6524;15.6846;9.1774;7.7009;2.7578;3.9289
0.5;9.1048;4.5858;43.8604;10.325;8.1378;8.3445;13.1191;13.3168;15.9523;9.9019;7.711;2.7273;4.5097
0.5;9.7166;4.5577;44.2859;9.5483;7.3739;9.1502;13.2905;13.6703;16.2995;10.2231;7.8582;3.3464;4.0391
0.5;10.1111;4.3097;45.1827;8.5575;9.2442;10.1889;13.9418;13.0373;15.7246;9.6519;8.3066;3.4005;4.0843
0.5;10.959;5.2604;41.9204;7.2269;9.1981;10.4396;12.8416;12.6152;14.4749;10.8793;9.5677;3.8218;4.4687
0.5;12.1011;4.4717;39.3315;6.2317;11.2453;8.9299;13.3359;12.51;14.5974;10.5068;9.3747;4.3382;4.1831
0.5;11.9007;5.8773;37.3655;6.0813;10.5845;8.8014;14.7439;14.5115;14.3426;10.6009;10.6923;3.7764;3.8306
0.5;11.9048;5.9422;38.4632;5.639;11.5243;9.11;14.2955;14.0264;13.7285;11.7627;9.2724;3.8241;4.0215
0.5;11.4054;5.8855;37.8079;7.1073;12.6893;10.0963;15.5722;14.6476;13.5245;12.7285;9.0771;4.0877;4.3692
0.5;10.9509;5.6832;40.6488;8.4745;10.8473;9.7728;15.225;14.3279;12.6085;13.942;9.2298;4.0434;4.7908
0.5;10.1197;5.7539;42.3779;8.832;9.5917;9.5305;16.4889;13.9776;12.7396;13.8946;8.9381;4.6602;5.1806
5;10.1481;5.3283;41.0403;8.0882;9.0051;8.4102;16.5649;13.8114;12.2764;13.9905;9.3583;3.925;5.0494
5;9.7222;5.8636;38.8033;8.7986;10.483;6.9201;16.6013;13.4671;12.0437;14.112;9.0755;4.5492;5.8433
5;12.3176;6.1462;39.4269;11.4527;26.6432;10.1736;18.517;18.553;19.7696;15.1486;14.1366;10.8558;6.8143
5;12.3321;5.8974;49.205;13.6159;37.263;13.0054;19.8522;21.095;23.8162;18.9312;17.3266;15.4636;7.9309
5;12.6057;5.8088;52.2151;20.273;39.0253;14.9021;19.6925;22.4659;25.8319;19.9039;20.2025;19.3826;9.7558
5;13.1776;5.2251;55.2789;23.4806;39.6873;15.7083;21.6938;21.2068;23.0443;18.6567;22.8305;21.6484;11.2606
5;13.1638;5.1062;53.7721;22.9257;38.6714;15.514;22.247;21.822;23.5641;16.9102;24.52;20.6234;12.8163
5;13.0271;6.4377;60.001;21.5975;41.2384;16.5474;21.6382;21.7675;25.3737;16.4398;27.0818;21.8126;11.9361
5;12.2241;6.1935;58.5632;20.8708;41.6491;15.0873;19.2956;21.9509;23.5585;17.7179;26.354;22.1474;13.1636
5;12.3419;6.4818;58.7944;20.1004;41.5121;16.3713;20.9408;20.6442;24.283;18.2798;26.3953;22.4723;12.8786
