odour stim;16/11/2020 Female3;17/11/2020 Female3;17/11/2020 Female8;17/11/2020 Male13;18/11/2020 Male2;18/11/2020 Male7;19/11/2020 Unknown6;20/11/2020 Male4;20/11/2020 Male10;23/11/2020 Female6;23/11/2020 Female10;23/11/2020 Male11;16/02/2021 Female5
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;3.5683;7.6054;10.104;9.2738;10.5442;7.7808;12.2723;11.6641;14.5725;20.3385;4.5665;14.9613;9.8615
0.5;3.0372;7.5998;9.6637;8.9975;11.0876;7.3424;11.0367;13.1976;14.4208;22.0713;4.739;13.2849;9.5144
0.5;3.0141;6.9503;9.9827;8.8331;9.7131;8.1631;11.075;13.2569;15.4939;22.5425;4.2358;16.4387;8.6537
0.5;3.0374;7.5962;10.2606;8.9817;10.7055;8.3475;10.6834;14.8711;15.1409;23.6347;3.9841;15.0629;9.1563
0.5;3.4107;8.3474;10.3642;8.9475;10.2827;8.328;9.5732;13.8418;14.5852;21.3892;4.5533;16.2713;9.4059
0.5;3.149;7.5751;9.3536;9.87;10.6641;8.1238;11.7099;14.3892;15.3087;18.7098;5.3221;16.7061;9.5613
0.5;3.3069;7.4868;7.8944;9.8814;10.8812;9.4502;11.2173;14.1739;15.3218;19.0676;5.761;16.9976;9.0456
0.5;3.4171;7.3792;8.2752;11.9181;9.5479;9.5647;11.1938;14.973;15.5908;17.6565;5.6882;17.8228;7.8811
0.5;3.3574;7.422;8.0865;14.0756;11.2372;9.2751;11.9509;13.8639;15.1492;17.9691;5.6082;18.5353;8.8678
0.5;3.6032;6.9651;9.0869;15.0759;10.6732;9.9381;12.1466;15.2706;15.1324;18.3792;5.6982;19.0827;8.5007
0.5;3.8083;7.304;8.5253;14.3385;9.6459;9.7829;9.9369;13.0889;14.7878;18.6672;6.4737;18.9437;7.9651
0.5;3.2199;7.1466;8.7616;14.6582;10.4751;9.2699;9.5286;14.1039;14.8363;19.537;5.5466;18.3871;7.7612
0.5;3.4798;7.8426;8.5372;14.5098;10.9752;9.6793;11.4895;15.6949;15.8414;19.3468;5.7212;18.6584;7.8867
0.5;3.7378;7.6983;8.0401;14.409;11.0229;8.8183;11.2637;16.262;15.9996;18.2999;5.6977;19.2142;7.7473
0.5;3.4018;7.0816;8.5596;14.9189;10.1969;8.996;11.1535;15.6213;15.4734;17.7879;5.6018;18.0342;7.6535
0.5;3.2616;6.5642;8.5909;15.3981;11.3365;9.7804;12.6173;16.5273;14.8358;18.8481;5.8828;17.1318;7.7984
0.5;3.1223;6.7589;8.5079;16.7344;11.7816;9.8978;11.4886;12.6005;14.5665;19.2438;5.84;15.501;7.6928
0.5;2.9477;6.5868;8.142;16.8115;11.1583;8.8716;12.2561;12.768;14.2333;19.8109;5.9081;15.4662;8.6669
0.5;3.0272;6.6962;8.3534;16.5418;12.0115;10.0648;11.8356;13.6653;14.5277;19.6379;5.914;13.7058;9.1163
0.5;3.3703;6.938;8.8847;16.9077;11.3163;9.3781;11.7794;16.6813;14.9168;20.9008;5.9486;14.2586;10.152
0.5;3.3646;6.7082;8.1886;15.9415;11.8603;9.5023;11.5434;14.3832;14.7278;21.2644;5.4761;13.2061;9.4744
0.5;2.9877;7.5853;8.8643;16.766;12.2734;8.8575;11.9609;15.3801;14.5604;20.7209;7.002;12.3118;10.1148
0.5;3.0919;7.1189;9.2924;16.5977;13.1653;9.3773;12.2565;15.8813;14.3609;21.2833;7.0328;11.7327;9.4577
0.5;3.2595;7.1894;8.6699;18.5367;14.199;9.8988;13.0683;15.9987;13.981;22.4108;6.9726;11.3749;9.8832
0.5;3.1885;7.2044;8.4067;18.4233;12.5288;10.4438;14.0395;15.3735;14.1475;21.0572;7.2616;9.6857;9.3342
0.5;3.5102;8.6449;8.6945;18.7202;10.6168;10.837;14.0777;16.0457;13.956;22.8375;7.5747;8.6946;8.6613
0.5;2.8496;9.6901;8.5866;18.6607;10.6428;10.7474;15.5264;12.7897;13.7628;20.6961;7.3692;8.4889;9.525
0.5;3.5266;9.9056;8.5279;18.1597;8.8784;9.9044;14.8734;14.0276;13.1219;21.5076;7.4147;8.4076;8.8806
0.5;3.4502;11.5581;8.3592;18.4446;8.6138;9.5924;15.3396;14.9775;13.722;20.585;6.4244;8.2772;8.9091
0.5;3.8756;11.9052;9.7995;17.0779;10.9038;9.3647;14.695;14.3585;13.6569;18.3647;6.5743;9.1066;8.3399
0.5;3.5406;11.8943;9.1647;17.8724;11.2507;10.4179;16.6287;13.1382;13.9074;16.2627;6.3485;8.7807;9.995
0.5;3.5246;12.7195;9.4499;18.4448;10.9337;9.8228;15.0181;14.9276;14.1706;15.5975;5.8768;8.949;9.599
0.5;3.8602;13.0283;9.653;19.4513;11.8197;10.2634;14.412;11.4779;13.8915;15.7703;5.7483;8.8856;9.6178
0.5;3.6558;15.2863;10.2375;16.9715;11.8379;10.0104;13.7404;9.1446;13.9418;14.5953;6.629;8.2655;10.9886
0.5;3.8246;15.1239;11.2426;16.4586;11.0546;10.1083;13.6142;8.5231;13.9219;12.4478;7.5504;8.2541;10.3034
0.5;4.1291;15.9766;10.6678;16.7645;10.6855;9.9844;15.5729;9.8109;13.9278;13.2673;7.021;8.1519;10.4736
0.5;3.9146;16.8969;11.1631;16.4221;11.5585;9.9062;15.3456;10.2659;13.3285;11.7167;7.4166;9.2197;9.3851
0.5;4.1117;17.9941;11.0706;16.639;10.0187;10.6143;15.0093;10.7541;13.4818;13.2857;8.1179;9.0447;10.0463
0.5;4.3443;17.7124;11.2971;17.3236;11.4619;9.6399;14.8697;9.6656;13.644;13.0473;7.7771;8.0462;10.3989
0.5;4.4022;16.9435;10.5179;16.9523;11.6793;10.4992;16.8083;10.3914;13.5122;13.5055;6.9268;8.021;10.2238
0.5;4.6487;17.0562;10.8754;15.7439;10.578;9.883;22.5715;11.5358;13.5864;13.8496;6.8543;8.8827;9.8929
0.5;4.1091;16.6586;10.6178;15.7925;8.4542;10.5941;24.5946;13.7255;13.4244;15.9396;7.8446;9.3256;9.2622
0.5;4.5843;17.8403;10.8033;15.4189;8.5602;10.3726;25.8415;14.412;13.8161;17.3533;7.6113;9.1274;10.0151
0.5;4.6768;17.3981;12.3528;15.7532;7.2106;10.9516;27.1426;14.4113;13.3902;18.2203;7.3238;8.6406;10.3504
0.5;4.1945;17.7126;11.7373;14.5944;8.0405;11.5586;28.0863;18.6707;13.4844;18.3402;6.2807;9.1961;9.6654
0.5;4.0851;16.9863;11.3717;14.7676;9.0641;10.9555;30.1267;16.2397;13.5708;18.9845;6.645;10.05;9.0645
0.5;3.3645;17.061;11.1938;14.6774;7.7701;11.9238;29.1677;15.9534;13.8964;20.7869;7.0521;10.5453;11.4803
0.5;3.8282;16.1388;11.5367;13.8357;8.5251;11.4796;30.5562;12.5463;14.4529;18.9117;7.5319;12.6129;10.3511
0.5;4.1011;14.6068;11.1633;14.7697;8.9169;11.9973;32.0837;16.7913;13.8594;17.8299;6.2979;12.2599;10.4017
0.5;3.7596;15.1638;10.6534;13.6405;8.7608;11.9877;32.589;18.7223;13.8541;16.5851;6.6764;11.3133;11.3262
0.5;3.3717;15.5277;10.8993;14.5178;9.2399;12.7298;31.4495;20.3642;14.134;17.2241;7.8508;12.0588;12.0229
0.5;3.2172;15.1253;11.0262;14.2709;7.8809;13.1459;30.6606;16.5564;14.1917;15.4875;8.046;11.8306;11.8107
0.5;3.5063;14.5031;10.4138;15.0881;8.0382;12.7595;29.4005;18.9444;14.7443;14.1778;7.4082;11.3905;11.6427
0.5;3.6915;13.6674;11.0872;14.6965;8.6212;12.2984;30.2847;19.4434;14.4823;12.7209;8.1151;11.518;11.8047
