odour stim;16/11/2020 Male4;16/11/2020 Female10;17/11/2020 Female3;17/11/2020 Female9;18/11/2020 Female3;18/11/2020 Female8;19/11/2020 Male5;19/11/2020 Female10;20/11/2020 Male10;23/11/2020 Male5;23/11/2020 Female9;25/11/2020 Female4;16/02/2021 Male6
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0.5;3.8963;4.0694;11.3534;5.7317;16.1857;6.501;25.9879;26.3374;6.7325;4.1793;4.386;17.6678;6.7388
0.5;5.4123;3.9853;10.9904;5.7573;18.5973;7.2929;25.9006;26.3147;6.292;5.049;4.299;16.8832;5.8382
0.5;4.5151;4.3803;9.9203;6.4315;19.5853;7.1961;25.6674;26.3509;6.0429;5.2335;3.9012;17.0585;5.9225
0.5;4.3805;3.952;11.3557;6.3406;20.0486;6.4652;28.8791;27.0572;6.892;5.1699;4.4033;17.1626;6.3271
0.5;5.0329;3.7605;11.2746;6.6011;18.8908;6.7612;30.4697;23.768;6.3973;5.0019;3.9319;17.0836;6.7286
0.5;4.7799;3.7343;11.4036;5.9145;16.1905;7.3455;30.7438;22.9863;6.1699;4.084;3.6778;17.1776;6.7352
0.5;4.8118;4.5977;10.9666;5.8116;13.7323;7.7843;29.7329;20.7721;5.7247;4.2865;3.7712;17.0814;6.7584
0.5;5.1049;5.3131;12.4771;6.2049;11.8214;8.1399;27.7066;16.409;5.5412;4.6093;4.1453;16.4439;6.079
0.5;4.111;5.7186;12.8942;5.7492;12.015;7.9439;23.4159;16.4156;5.4817;4.9184;4.0738;16.9646;6.0061
0.5;2.613;6.7452;12.0714;5.3323;14.2492;7.2553;20.726;16.6495;5.8834;5.0014;4.3183;16.9421;6.0243
0.5;2.9473;6.3909;15.4111;6.0089;16.0569;7.1155;19.1026;17.1835;5.8921;4.3714;4.6216;17.0333;6.5484
0.5;3.2794;5.2861;18.3149;5.7696;14.5715;7.7329;21.098;15.7589;6.1803;4.4393;4.7805;16.2562;8.13
0.5;3.1678;4.6444;16.5953;6.2653;13.2708;7.326;19.0036;13.1705;6.1634;5.0904;4.882;16.2433;6.5095
0.5;3.9985;4.8962;16.2291;5.6296;13.1565;7.0807;16.0832;11.0522;6.1311;5.0445;5.4716;16.0348;7.6932
0.5;4.7979;4.2417;16.0991;4.9375;14.121;7.0638;14.6634;12.3344;5.9181;5.2523;4.7672;15.9697;7.7553
0.5;4.6454;3.9332;15.938;5.0279;17.173;6.7227;14.8569;14.4325;6.2383;4.7347;4.4222;15.2302;8.1269
0.5;4.7878;4.3125;13.7979;5.5904;19.2297;6.0853;16.5626;15.3298;6.7819;4.7448;4.8236;14.2978;7.8383
0.5;5.0822;4.4008;14.2796;6.223;22.5079;5.7682;18.404;15.5442;6.0436;4.6703;4.8046;13.3359;7.1946
0.5;4.5306;5.1541;13.0964;5.9589;21.4508;6.4956;18.8376;16.5603;5.8412;4.1132;4.5073;12.6969;6.4451
0.5;4.1879;5.1262;13.8308;6.3655;23.2968;5.8271;18.0246;15.7505;5.6005;3.9105;5.4775;10.602;6.144
0.5;4.2397;5.5181;16.5335;6.7696;24.4143;6.3323;17.8238;16.4688;5.4356;4.7303;5.0148;8.7972;6.5929
0.5;4.4662;5.1019;18.2928;7.0111;23.6982;6.6747;18.2489;17.9866;5.769;5.3702;4.8505;8.3689;7.4665
0.5;4.154;5.3281;18.7727;7.6095;26.1716;7.2463;19.1447;18.5363;5.7562;4.9522;5.0848;7.4377;7.2041
0.5;3.3895;5.8892;17.3555;6.9979;28.8481;7.4219;20.5369;18.1177;5.5388;3.9811;5.1416;6.2756;7.6053
0.5;4.0954;6.8539;14.9779;7.1706;30.9185;6.9043;21.3601;17.4523;5.5647;4.3628;5.3125;6.1014;7.7236
0.5;4.786;5.9291;15.6805;7.1668;30.2341;6.8836;21.3193;17.0223;5.6693;5.3895;4.9613;6.5742;6.6105
0.5;4.6625;6.4768;15.7952;7.446;26.112;7.2877;22.7628;16.3492;5.5632;5.9922;4.8874;6.8814;8.129
0.5;5.0335;5.7213;15.8378;8.0447;22.5698;7.7022;22.8542;18.6628;5.5815;5.5643;5.0287;7.388;8.3439
0.5;5.5816;4.626;15.2764;7.5114;22.8626;6.6911;25.301;16.9316;5.6651;4.6557;5.1577;7.5317;9.1327
0.5;5.6161;4.1569;13.9956;6.2255;22.9777;7.056;24.7284;17.3946;5.8255;4.7448;5.3615;7.6269;8.7704
0.5;5.3309;4.2516;14.662;6.1749;23.1205;7.9466;26.6977;19.5137;5.8127;6.723;4.7342;8.4938;7.9068
0.5;5.2999;4.5209;14.6815;7.7372;21.9268;7.5446;24.0051;21.347;5.9482;6.5046;5.057;7.339;8.7314
0.5;4.8066;4.1338;15.5006;7.9104;20.4764;7.4158;24.8692;21.282;6.1573;6.7668;5.9388;7.0067;9.1991
0.5;4.8758;4.0482;15.7601;7.5072;20.4475;6.008;23.0857;21.2082;6.05;6.6191;5.7286;7.8783;8.7036
0.5;4.8213;3.7195;16.4583;7.9169;20.649;7.5464;22.7649;21.0902;6.2767;6.4351;5.6054;8.1516;9.2047
0.5;4.3978;3.2096;15.5008;7.3365;19.6157;8.1195;21.968;20.3851;6.4719;6.6154;5.7566;8.3719;9.0196
0.5;4.1414;3.2076;15.6481;6.9872;20.8656;8.4221;23.4582;20.2624;5.8661;6.7853;6.469;8.05;9.2929
0.5;3.4344;3.8427;16.0136;7.355;18.7911;7.5114;20.9531;20.842;5.1324;6.3527;6.5001;8.9372;9.7228
0.5;3.0427;3.5385;15.8623;6.4371;20.7933;8.0276;18.7895;20.1099;5.7053;6.9871;6.0926;8.8921;10.4563
0.5;3.5683;4.2188;14.7804;5.9628;20.0819;8.9778;17.7962;21.2933;6.306;7.6989;5.4764;8.8074;10.6873
