odour stim;07/12/2020 Female10;09/12/2020 Male4;09/12/2020 Female11;11/12/2020 Female3;11/12/2020 Male8;14/12/2020 Male3;14/12/2020 Male7;15/12/2020 Male3;15/12/2020 Female8;08/02/2021 Female2;09/02/2021 Female5;10/02/2021 Female2
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;14.0169;16.2883;7.3739;34.0393;18.8485;16.141;18.6154;39.9121;22.2188;15.6196;17.1088;6.245
0.5;12.4026;17.2021;7.347;35.4379;17.7259;15.3651;19.7435;42.2906;18.1556;15.854;16.5432;6.6949
0.5;11.205;16.1974;6.9983;35.0072;18.7048;16.5036;19.1731;44.6628;24.2273;15.2892;15.5983;5.6984
0.5;11.4254;15.9295;7.127;34.4528;18.8995;16.9072;19.6692;46.5702;29.9097;14.6634;17.085;5.7004
0.5;12.6698;16.0387;7.4201;32.3724;19.4739;16.2702;20.493;49.3472;30.9289;15.1565;17.97;7.2679
0.5;11.0869;17.3153;7.2674;30.0569;21.1652;15.2811;21.9575;47.4993;27.8721;14.2858;18.2223;7.2428
0.5;11.9739;15.9943;7.3372;28.3051;20.5473;14.3912;21.4806;47.7151;28.4508;13.5104;18.3166;7.0147
0.5;10.8937;16.6707;7.037;25.7101;19.5651;13.3894;20.0015;44.2536;26.129;13.6939;16.8355;7.8527
0.5;12.5328;15.6372;7.1911;28.0503;20.8299;14.4484;19.1844;42.9499;28.8027;13.8456;15.9017;8.1153
0.5;10.8674;18.2193;7.0381;28.9352;20.5924;14.706;23.4019;41.9638;31.7637;13.3018;18.9306;8.6725
0.5;9.759;17.279;7.3728;30.9381;21.3833;17.4384;23.9449;40.2938;32.4715;13.9185;17.942;8.669
0.5;10.2154;15.9082;7.1022;29.7134;23.2119;18.3569;27.3145;42.4675;31.4378;16.0994;17.2667;9.3279
0.5;11.1058;16.0651;7.2381;27.8981;22.655;18.1279;26.3185;40.4871;26.2008;16.8691;15.7572;8.8024
0.5;11.4029;16.5188;6.623;25.2547;22.3421;18.0655;24.3149;37.6313;25.5283;16.4553;16.1234;10.5048
0.5;12.9524;16.7002;6.9209;27.247;19.6641;19.4829;26.0174;39.7388;25.7575;16.3997;15.7903;9.8079
0.5;11.8521;17.2267;7.2149;30.4947;22.2649;20.0283;28.4143;41.2832;29.9308;16.4452;17.2095;9.3
0.5;11.5079;16.3246;7.6674;32.7863;20.9864;18.265;25.7536;41.5023;31.0934;15.7648;16.5413;10.5843
0.5;10.1454;14.7637;7.761;30.9648;19.2416;20.7194;25.3581;39.4966;29.8546;17.4697;16.2304;9.554
0.5;9.8413;15.965;7.7821;31.8195;21.248;19.8141;23.2843;37.6075;29.7383;16.7235;15.3529;8.6982
